Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTILAYER,rsfMRI,17,Degree,130.22641,129.26923,0.95718384
MULTILAYER,rsfMRI,18,Degree,118.90566,118.80769,0.097969055
MULTILAYER,rsfMRI,19,Degree,132.28302,131.17308,1.1099396
MULTILAYER,rsfMRI,20,Degree,128.1132,127.42308,0.6901245
MULTILAYER,rsfMRI,21,Degree,132.26414,131.1923,1.0718384
MULTILAYER,rsfMRI,22,Degree,143.15094,142.09616,1.054779
MULTILAYER,rsfMRI,23,Degree,123.30189,122.32692,0.97496796
MULTILAYER,rsfMRI,24,Degree,133.03773,132.40384,0.6338959
MULTILAYER,rsfMRI,25,Degree,138.26414,137.07692,1.1872253
MULTILAYER,rsfMRI,26,Degree,142.15094,141.11539,1.035553
MULTILAYER,rsfMRI,27,Degree,141.0,140.28847,0.7115326
MULTILAYER,rsfMRI,28,Degree,135.5283,133.86539,1.6629181
MULTILAYER,rsfMRI,29,Degree,115.245285,114.53846,0.70682526
MULTILAYER,rsfMRI,30,Degree,143.49057,141.75,1.7405701
MULTILAYER,rsfMRI,31,Degree,146.24529,144.9423,1.3029785
MULTILAYER,rsfMRI,32,Degree,134.22641,133.1923,1.0341034
MULTILAYER,rsfMRI,33,Degree,146.20755,144.98077,1.2267761
MULTILAYER,rsfMRI,34,Degree,134.13208,133.28847,0.8436127
MULTILAYER,rsfMRI,35,Degree,132.20755,131.25,0.95755005
MULTILAYER,rsfMRI,36,Degree,107.245285,106.69231,0.5529785
MULTILAYER,rsfMRI,37,Degree,115.07547,114.71154,0.36392975
MULTILAYER,rsfMRI,38,Degree,147.18867,145.98077,1.207901
MULTILAYER,rsfMRI,39,Degree,137.32076,136.03847,1.2822876
MULTILAYER,rsfMRI,40,Degree,147.20755,145.96153,1.2460175
MULTILAYER,rsfMRI,41,Degree,139.05661,138.26923,0.78738403
MULTILAYER,rsfMRI,42,Degree,134.15094,133.26923,0.88171387
MULTILAYER,rsfMRI,43,Degree,97.962265,98.15385,-0.19158173
MULTILAYER,rsfMRI,44,Degree,111.01887,110.84615,0.17271423
MULTILAYER,rsfMRI,45,Degree,118.20755,117.51923,0.68831635
MULTILAYER,rsfMRI,46,Degree,129.22641,128.28847,0.9379425
MULTILAYER,rsfMRI,47,Degree,125.01887,124.57692,0.44194794
MULTILAYER,rsfMRI,48,Degree,91.245285,91.0,0.24528503
MULTILAYER,rsfMRI,49,Degree,121.07547,120.59615,0.4793167
MULTILAYER,rsfMRI,50,Degree,141.26414,140.01923,1.2449188
MULTILAYER,rsfMRI,51,Degree,132.32076,131.13461,1.186142
MULTILAYER,rsfMRI,52,Degree,134.28302,133.13461,1.148407
MULTILAYER,rsfMRI,53,Degree,127.13207,126.42308,0.708992
MULTILAYER,rsfMRI,54,Degree,126.18868,125.38461,0.8040695
MULTILAYER,rsfMRI,55,Degree,117.90566,117.82692,0.07874298
MULTILAYER,rsfMRI,56,Degree,123.962265,123.65385,0.30841827
MULTILAYER,rsfMRI,57,Degree,141.20755,140.07692,1.1306305
MULTILAYER,rsfMRI,58,Degree,104.49056,103.5,0.99056244
MULTILAYER,rsfMRI,59,Degree,124.37736,123.23077,1.1465912
MULTILAYER,rsfMRI,60,Degree,129.30188,128.21153,1.0903473
MULTILAYER,rsfMRI,61,Degree,119.22642,118.48077,0.74565125
MULTILAYER,rsfMRI,62,Degree,129.15094,128.36539,0.785553
MULTILAYER,rsfMRI,63,Degree,119.830185,119.86539,-0.035202026
MULTILAYER,rsfMRI,64,Degree,130.20755,129.28847,0.91908264
MULTILAYER,rsfMRI,65,Degree,123.0,122.63461,0.36538696
MULTILAYER,rsfMRI,66,Degree,132.20755,131.25,0.95755005
MULTILAYER,rsfMRI,67,Degree,144.35849,142.86539,1.493103
MULTILAYER,rsfMRI,68,Degree,119.13207,118.57692,0.5551529
MULTILAYER,rsfMRI,69,Degree,134.13208,133.28847,0.8436127
MULTILAYER,rsfMRI,70,Degree,139.35849,137.96153,1.3969574
MULTILAYER,rsfMRI,71,Degree,142.33963,140.92308,1.4165497
MULTILAYER,rsfMRI,72,Degree,142.01888,141.25,0.7688751
MULTILAYER,rsfMRI,73,Degree,136.37737,135.0,1.3773651
MULTILAYER,rsfMRI,74,Degree,110.0566,109.82692,0.22968292
MULTILAYER,rsfMRI,75,Degree,144.26414,142.96153,1.3026123
MULTILAYER,GM,0,Strength,86.75108,86.31075,0.4403305
MULTILAYER,GM,1,Strength,90.30216,91.221405,-0.91924286
MULTILAYER,GM,2,Strength,88.83778,89.3846,-0.54681396
MULTILAYER,GM,3,Strength,59.1731,62.10561,-2.9325104
MULTILAYER,GM,4,Strength,81.00698,82.18453,-1.1775513
MULTILAYER,GM,5,Strength,107.13738,103.301025,3.836357
MULTILAYER,GM,6,Strength,90.567024,90.52202,0.0450058
MULTILAYER,GM,7,Strength,91.33948,91.09802,0.24145508
MULTILAYER,GM,8,Strength,90.65096,89.97972,0.67124176
MULTILAYER,GM,9,Strength,82.92912,85.7968,-2.8676758
MULTILAYER,GM,10,Strength,80.38077,80.59097,-0.21020508
MULTILAYER,GM,11,Strength,81.93931,85.61178,-3.67247
MULTILAYER,GM,12,Strength,97.49742,95.29819,2.199234
MULTILAYER,GM,13,Strength,64.31815,67.953316,-3.6351624
