Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
rsfMRI,18,Strength,41.032402,38.97361,2.058792
rsfMRI,19,Strength,40.71777,40.178005,0.5397644
rsfMRI,20,Strength,41.63698,40.749714,0.88726425
rsfMRI,21,Strength,42.087383,41.957115,0.1302681
rsfMRI,22,Strength,38.16985,37.918724,0.25112534
rsfMRI,23,Strength,37.962254,37.615845,0.34640884
rsfMRI,24,Strength,39.943756,39.22911,0.7146454
rsfMRI,25,Strength,39.769794,40.192307,-0.42251205
rsfMRI,26,Strength,39.965797,38.748432,1.2173653
rsfMRI,27,Strength,41.3192,40.32263,0.9965668
rsfMRI,28,Strength,41.495068,40.88699,0.608078
rsfMRI,29,Strength,43.383396,40.684807,2.6985893
rsfMRI,30,Strength,41.232883,39.967583,1.2653008
rsfMRI,31,Strength,40.854828,37.617275,3.2375526
rsfMRI,32,Strength,39.58261,37.811672,1.7709389
rsfMRI,33,Strength,38.131832,35.481155,2.6506767
rsfMRI,34,Strength,37.591106,35.758476,1.8326302
rsfMRI,35,Strength,40.18503,38.842896,1.3421364
rsfMRI,36,Strength,38.494267,38.435024,0.05924225
rsfMRI,37,Strength,39.62515,39.390335,0.23481369
rsfMRI,38,Strength,41.949123,37.973873,3.9752502
rsfMRI,39,Strength,40.704605,37.92087,2.7837334
rsfMRI,40,Strength,39.531456,36.753872,2.777584
rsfMRI,41,Strength,36.716293,34.44876,2.2675323
rsfMRI,42,Strength,39.801983,38.68589,1.1160927
rsfMRI,43,Strength,38.802227,39.017593,-0.21536636
rsfMRI,44,Strength,39.140938,38.698425,0.4425125
rsfMRI,45,Strength,41.823532,39.383457,2.440075
rsfMRI,46,Strength,39.121117,39.133804,-0.012687683
rsfMRI,47,Strength,40.886955,38.946896,1.9400597
rsfMRI,48,Strength,37.228264,37.183693,0.044570923
rsfMRI,49,Strength,40.613167,39.91427,0.6988983
rsfMRI,50,Strength,39.14084,38.389835,0.75100327
rsfMRI,51,Strength,40.783886,39.410038,1.373848
rsfMRI,52,Strength,39.463116,38.026886,1.4362297
rsfMRI,53,Strength,41.10624,40.0888,1.0174408
rsfMRI,54,Strength,40.228584,39.472927,0.7556572
rsfMRI,55,Strength,39.62863,38.424046,1.204586
rsfMRI,56,Strength,37.44917,37.24532,0.20384979
rsfMRI,57,Strength,41.129787,39.801537,1.3282509
rsfMRI,58,Strength,40.219658,37.401707,2.8179512
rsfMRI,59,Strength,41.704193,40.27941,1.4247818
rsfMRI,60,Strength,42.529503,41.24448,1.2850227
rsfMRI,61,Strength,39.732197,39.54291,0.18928528
rsfMRI,62,Strength,40.853752,39.715775,1.1379776
rsfMRI,63,Strength,41.456913,40.19581,1.2611046
rsfMRI,64,Strength,40.66541,39.656063,1.009346
rsfMRI,65,Strength,40.304592,39.050888,1.2537041
rsfMRI,66,Strength,41.274303,39.733833,1.5404701
