Node,Layer,Metric,Control,EM,Delta,Abs_Delta,Cohort
0,MULTILAYER,Betweenness_mean,0.033077262693156737,0.06531415087158407,-0.032236888178427334,0.032236888178427334,HCB
0,MULTILAYER,Closeness_mean,0.9168523445188803,0.91577721919054,0.0010751253283403095,0.0010751253283403095,HCB
0,MULTILAYER,Degree_mean,137.3,137.09655172413792,0.2034482758620868,0.2034482758620868,HCB
0,MULTILAYER,Eigenvector_mean,0.06166011511380021,0.0628799735450087,-0.0012198584312084898,0.0012198584312084898,HCB
0,MULTILAYER,Strength_mean,55.415795612038494,55.82485148189514,-0.409055869856644,0.409055869856644,HCB
0,MULTINEXT,Betweenness_mean,0.000268076616113716,0.0002854566819104651,-1.7380065796749125e-05,1.7380065796749125e-05,HCB
0,MULTINEXT,Closeness_mean,0.9168523445188803,0.91577721919054,0.0010751253283403095,0.0010751253283403095,HCB
0,MULTINEXT,Degree_mean,137.3,137.09655172413792,0.2034482758620868,0.2034482758620868,HCB
0,MULTINEXT,Eigenvector_mean,0.07786449072118011,0.07798075526939335,-0.0001162645482132435,0.0001162645482132435,HCB
0,MULTINEXT,Strength_mean,137.3,137.09655172413792,0.2034482758620868,0.2034482758620868,HCB
1,MULTILAYER,Betweenness_mean,0.014860927152317882,0.020724670777194185,-0.005863743624876303,0.005863743624876303,HCB
1,MULTILAYER,Closeness_mean,0.9355724254274979,0.9325865767826791,0.002985848644818767,0.002985848644818767,HCB
1,MULTILAYER,Degree_mean,140.6,140.05517241379312,0.5448275862068783,0.5448275862068783,HCB
1,MULTILAYER,Eigenvector_mean,0.07076933197469423,0.07280456735750712,-0.002035235382812889,0.002035235382812889,HCB
1,MULTILAYER,Strength_mean,63.99587831494431,65.11302874463061,-1.1171504296863048,1.1171504296863048,HCB
1,MULTINEXT,Betweenness_mean,0.000296006159141921,0.00031337353075487113,-1.7367371612950113e-05,1.7367371612950113e-05,HCB
1,MULTINEXT,Closeness_mean,0.9355724254274979,0.9325865767826791,0.002985848644818767,0.002985848644818767,HCB
1,MULTINEXT,Degree_mean,140.6,140.05517241379312,0.5448275862068783,0.5448275862068783,HCB
1,MULTINEXT,Eigenvector_mean,0.07965823161382946,0.07958358342833247,7.464818549698937e-05,7.464818549698937e-05,HCB
1,MULTINEXT,Strength_mean,140.6,140.05517241379312,0.5448275862068783,0.5448275862068783,HCB
2,MULTILAYER,Betweenness_mean,0.04585430463576159,0.026110832001217932,0.019743472634543655,0.019743472634543655,HCB
2,MULTILAYER,Closeness_mean,0.9503386381863912,0.9502311881677015,0.00010745001868972537,0.00010745001868972537,HCB
2,MULTILAYER,Degree_mean,143.1,143.06896551724137,0.031034482758627746,0.031034482758627746,HCB
2,MULTILAYER,Eigenvector_mean,0.06336854019269181,0.06829656652656477,-0.004928026333872959,0.004928026333872959,HCB
2,MULTILAYER,Strength_mean,57.38813093736182,60.80377938852175,-3.4156484511599245,3.4156484511599245,HCB
2,MULTINEXT,Betweenness_mean,0.00034547421771507515,0.00036578867563595157,-2.031445792087641e-05,2.031445792087641e-05,HCB
2,MULTINEXT,Closeness_mean,0.9503386381863912,0.9502311881677015,0.00010745001868972537,0.00010745001868972537,HCB
2,MULTINEXT,Degree_mean,143.1,143.06896551724137,0.031034482758627746,0.031034482758627746,HCB
2,MULTINEXT,Eigenvector_mean,0.08088350518093806,0.08111211979604423,-0.00022861461510616243,0.00022861461510616243,HCB
2,MULTINEXT,Strength_mean,143.1,143.06896551724137,0.031034482758627746,0.031034482758627746,HCB
3,MULTILAYER,Betweenness_mean,0.02665121412803532,0.028393392707619702,-0.001742178579584381,0.001742178579584381,HCB
3,MULTILAYER,Closeness_mean,0.8708373245251858,0.8686276469925697,0.002209677532616139,0.002209677532616139,HCB
3,MULTILAYER,Degree_mean,128.6,128.1448275862069,0.45517241379309326,0.45517241379309326,HCB
3,MULTILAYER,Eigenvector_mean,0.06110181178720799,0.06190275091251274,-0.0008009391253047463,0.0008009391253047463,HCB
3,MULTILAYER,Strength_mean,56.21077525469335,55.96896118767279,0.24181406702056307,0.24181406702056307,HCB
3,MULTINEXT,Betweenness_mean,0.00022041412717577,0.00023216067374853727,-1.1746546572767276e-05,1.1746546572767276e-05,HCB
3,MULTINEXT,Closeness_mean,0.8708373245251858,0.8686276469925697,0.002209677532616139,0.002209677532616139,HCB
3,MULTINEXT,Degree_mean,128.6,128.1448275862069,0.45517241379309326,0.45517241379309326,HCB
3,MULTINEXT,Eigenvector_mean,0.0729790841384138,0.07297146257414361,7.621564270185455e-06,7.621564270185455e-06,HCB
3,MULTINEXT,Strength_mean,128.6,128.1448275862069,0.45517241379309326,0.45517241379309326,HCB
4,MULTILAYER,Betweenness_mean,0.015364238410596026,0.016897008449417675,-0.0015327700388216483,0.0015327700388216483,HCB
4,MULTILAYER,Closeness_mean,0.9444092341077429,0.944286907099151,0.00012232700859193812,0.00012232700859193812,HCB
4,MULTILAYER,Degree_mean,142.1,142.0758620689655,0.024137931034488247,0.024137931034488247,HCB
4,MULTILAYER,Eigenvector_mean,0.07095765421144992,0.07320295246055697,-0.0022452982491070472,0.0022452982491070472,HCB
4,MULTILAYER,Strength_mean,64.33344200701787,65.69970449532923,-1.3662624883113637,1.3662624883113637,HCB
4,MULTINEXT,Betweenness_mean,0.00031671415500107887,0.0003393864748254522,-2.2672319824373313e-05,2.2672319824373313e-05,HCB
4,MULTINEXT,Closeness_mean,0.9444092341077429,0.944286907099151,0.00012232700859193812,0.00012232700859193812,HCB
4,MULTINEXT,Degree_mean,142.1,142.0758620689655,0.024137931034488247,0.024137931034488247,HCB
4,MULTINEXT,Eigenvector_mean,0.08043010203961026,0.08065229089306826,-0.00022218885345799688,0.00022218885345799688,HCB
4,MULTINEXT,Strength_mean,142.1,142.0758620689655,0.024137931034488247,0.024137931034488247,HCB
5,MULTILAYER,Betweenness_mean,0.008706401766004417,0.02061703585293446,-0.011910634086930045,0.011910634086930045,HCB
5,MULTILAYER,Closeness_mean,0.9856463797640268,0.9806637130122828,0.004982666751743969,0.004982666751743969,HCB
5,MULTILAYER,Degree_mean,148.8,147.98620689655172,0.8137931034482904,0.8137931034482904,HCB
5,MULTILAYER,Eigenvector_mean,0.07233895354814815,0.07622407624970315,-0.0038851227015549994,0.0038851227015549994,HCB
5,MULTILAYER,Strength_mean,65.74650008462922,68.51077603966972,-2.764275955040503,2.764275955040503,HCB
