Node,Layer,Metric,Control,EM,Delta,Abs_Delta,Cohort
0,FA,Betweenness_mean,0.004944944944944945,0.006474060267163715,-0.00152911532221877,0.00152911532221877,HCB
0,FA,Closeness_mean,0.8620689655172413,0.8580214903056185,0.004047475211622853,0.004047475211622853,HCB
0,FA,Degree_mean,63.0,62.56551724137931,0.43448275862068897,0.43448275862068897,HCB
0,FA,Eigenvector_mean,0.10560563304831148,0.10636370807977023,-0.0007580750314587492,0.0007580750314587492,HCB
0,FA,Strength_mean,33.82708685324084,33.87594534514437,-0.04885849190353042,0.04885849190353042,HCB
0,GM,Betweenness_mean,0.041909909909909907,0.09612177694936316,-0.05421186703945326,0.05421186703945326,HCB
0,GM,Closeness_mean,0.990924864609075,0.9939189477830385,-0.0029940831739634355,0.0029940831739634355,HCB
0,GM,Degree_mean,74.3,74.53103448275863,-0.2310344827586306,0.2310344827586306,HCB
0,GM,Eigenvector_mean,0.09368899759753022,0.0847690298576834,0.00891996773984681,0.00891996773984681,HCB
0,GM,Strength_mean,23.921583694441903,21.948906136750757,1.9726775576911457,1.9726775576911457,HCB
0,rsfMRI,Betweenness_mean,0.005025025025025025,0.013268716992854925,-0.0082436919678299,0.0082436919678299,HCB
0,rsfMRI,Closeness_mean,0.9950503083414477,0.9940758753882635,0.0009744329531842233,0.0009744329531842233,HCB
0,rsfMRI,Degree_mean,74.61111111111111,74.53103448275863,0.08007662835248652,0.08007662835248652,HCB
0,rsfMRI,Eigenvector_mean,0.11585318994395183,0.11443986771226823,0.0014133222316835975,0.0014133222316835975,HCB
0,rsfMRI,Strength_mean,43.666928270404355,42.95636490366817,0.7105633667361886,0.7105633667361886,HCB
1,FA,Betweenness_mean,0.004884884884884885,0.006372165268716993,-0.0014872803838321081,0.0014872803838321081,HCB
1,FA,Closeness_mean,0.8922735760971057,0.8885992737764656,0.0036743023206400327,0.0036743023206400327,HCB
1,FA,Degree_mean,65.94444444444444,65.55172413793103,0.39272030651341083,0.39272030651341083,HCB
1,FA,Eigenvector_mean,0.11491084361703686,0.11504524306352415,-0.00013439944648728497,0.00013439944648728497,HCB
1,FA,Strength_mean,37.01102072231245,37.0139256053064,-0.0029048829939455345,0.0029048829939455345,HCB
1,GM,Betweenness_mean,0.006522522522522523,0.02054054054054054,-0.014018018018018016,0.014018018018018016,HCB
1,GM,Closeness_mean,0.9960526315789474,0.993570349967522,0.0024822816114253854,0.0024822816114253854,HCB
1,GM,Degree_mean,74.7,74.50344827586207,0.1965517241379331,0.1965517241379331,HCB
1,GM,Eigenvector_mean,0.11494589656232904,0.11067798430754772,0.00426791225478132,0.00426791225478132,HCB
1,GM,Strength_mean,29.561058479992322,28.099103139324207,1.4619553406681156,1.4619553406681156,HCB
1,rsfMRI,Betweenness_mean,0.017337337337337336,0.015326498912705811,0.0020108384246315253,0.0020108384246315253,HCB
1,rsfMRI,Closeness_mean,0.9956892522681997,0.9941597200827937,0.0015295321854059685,0.0015295321854059685,HCB
1,rsfMRI,Degree_mean,74.66666666666667,74.52413793103449,0.14252873563218316,0.14252873563218316,HCB
1,rsfMRI,Eigenvector_mean,0.11982794536755417,0.11764340966306246,0.0021845357044917163,0.0021845357044917163,HCB
1,rsfMRI,Strength_mean,44.856691360573485,44.13982061922833,0.7168707413451543,0.7168707413451543,HCB
2,FA,Betweenness_mean,0.003183183183183183,0.006397017707362534,-0.0032138345241793506,0.0032138345241793506,HCB
2,FA,Closeness_mean,0.925925925925926,0.9208569800325538,0.005068945893372256,0.005068945893372256,HCB
2,FA,Degree_mean,69.0,68.52413793103449,0.47586206896551175,0.47586206896551175,HCB
2,FA,Eigenvector_mean,0.11706266628258594,0.11546696320697589,0.0015957030756100499,0.0015957030756100499,HCB
2,FA,Strength_mean,38.17277948515437,37.55952630618663,0.6132531789677387,0.6132531789677387,HCB
2,GM,Betweenness_mean,0.06472072072072071,0.036309412861137,0.028411307859583713,0.028411307859583713,HCB
2,GM,Closeness_mean,0.9883919378423043,0.9941728204765697,-0.005780882634265461,0.005780882634265461,HCB
2,GM,Degree_mean,74.1,74.54482758620689,-0.4448275862068982,0.4448275862068982,HCB
2,GM,Eigenvector_mean,0.0861783407081472,0.08895014458382444,-0.0027718038756772423,0.0027718038756772423,HCB
