edge_idx,source,target,control,ms,delta
35,10,55,0.2487043,0.25643507,-0.007730767
38,11,41,0.24765237,0.2558208,-0.008168444
103,70,4,0.2507101,0.2592941,-0.008583993
111,55,6,0.24806848,0.25714552,-0.009077042
62,35,54,0.24731399,0.25692207,-0.009608075
118,35,9,0.24992837,0.26056856,-0.010640189
74,38,58,0.24711931,0.25789925,-0.010779947
177,58,51,0.24963072,0.2610894,-0.011458695
61,35,51,0.25160575,0.26339948,-0.011793733
106,25,6,0.24284789,0.2627868,-0.019938916
