edge_idx,source,target,control,ms,delta
153,7,28,0.27109027,0.2752099,-0.0041196346
246,12,57,0.2797801,0.2839027,-0.004122615
1322,55,42,0.2791205,0.28324568,-0.004125178
377,20,71,0.2735201,0.27768266,-0.00416255
27,1,60,0.28156418,0.2857425,-0.0041783154
307,17,26,0.276869,0.2810623,-0.004193306
590,35,51,0.27167663,0.27587304,-0.0041964054
36,1,73,0.27334532,0.27754384,-0.0041985214
690,63,75,0.28038895,0.28459424,-0.0042052865
538,30,35,0.27549636,0.2797077,-0.0042113364
228,12,14,0.27440014,0.2786221,-0.004221946
1206,34,28,0.27613702,0.28036416,-0.0042271316
6,0,22,0.27214527,0.27638018,-0.00423491
1347,75,49,0.2769512,0.28119007,-0.0042388737
363,20,27,0.27767906,0.28192303,-0.00424397
45,2,30,0.27148962,0.2757529,-0.004263282
355,19,74,0.27374315,0.27804646,-0.0043033063
966,40,14,0.28087178,0.28517792,-0.0043061376
297,16,23,0.280443,0.28475082,-0.0043078065
528,28,72,0.27323666,0.27757594,-0.0043392777
851,30,7,0.2743561,0.27870765,-0.0043515563
290,15,59,0.27477494,0.2791739,-0.004398972
491,27,47,0.2737999,0.27820185,-0.004401952
1266,47,33,0.27293766,0.2773618,-0.0044241548
191,8,51,0.27228272,0.2767142,-0.004431486
43,2,27,0.27378413,0.27822244,-0.004438311
339,19,41,0.27235445,0.27679834,-0.004443884
581,34,59,0.27432227,0.2787807,-0.0044584274
1351,63,51,0.27459002,0.27907383,-0.004483819
154,7,30,0.27321282,0.27770835,-0.0044955313
266,14,32,0.27072158,0.27524805,-0.004526466
1071,66,20,0.27491537,0.2794649,-0.004549533
495,27,53,0.2721454,0.2767009,-0.0045555234
1298,57,38,0.27428123,0.2788568,-0.0045755804
863,65,7,0.27564734,0.2802277,-0.0045803487
654,51,63,0.27594084,0.2805321,-0.0045912564
1033,38,19,0.27348837,0.27808735,-0.004598975
620,41,63,0.27576208,0.2803616,-0.0045995116
1213,52,28,0.26927024,0.27388823,-0.004617989
832,64,6,0.2717909,0.27640903,-0.004618138
783,57,4,0.2718319,0.27648038,-0.004648477
513,28,46,0.2783753,0.28304166,-0.004666358
1119,59,22,0.26989684,0.27456337,-0.004666537
150,7,21,0.27416962,0.27886894,-0.0046993196
771,22,4,0.2754479,0.28015572,-0.0047078133
554,31,35,0.27988687,0.28459567,-0.0047087967
1350,55,51,0.2734127,0.27812356,-0.004710853
817,19,6,0.27646318,0.28119132,-0.0047281384
565,32,64,0.27705237,0.28178385,-0.0047314763
576,33,66,0.27906284,0.28380728,-0.0047444403
608,39,63,0.27634555,0.28109816,-0.004752606
896,72,8,0.28141847,0.28617904,-0.0047605634
1203,73,27,0.27214366,0.27692106,-0.0047774017
511,28,40,0.27505744,0.2798664,-0.0048089623
134,6,63,0.27568176,0.28049573,-0.004813969
344,19,59,0.27723223,0.28204778,-0.0048155487
439,24,46,0.2754378,0.28025484,-0.004817039
1325,67,42,0.27770886,0.28253496,-0.0048260987
749,42,2,0.28247413,0.28730702,-0.0048328936
1044,65,19,0.27023914,0.27507854,-0.0048393905
1091,67,21,0.28287327,0.28772312,-0.004849851
255,12,73,0.2744381,0.2792918,-0.0048536956
303,16,70,0.27268866,0.27756065,-0.0048719943
628,42,67,0.2764769,0.2813554,-0.004878521
1330,55,44,0.27972454,0.28461984,-0.0048952997
1223,70,28,0.272739,0.2776361,-0.0048971176
1103,33,22,0.27902892,0.28396812,-0.0049391985
959,17,14,0.27447167,0.27941597,-0.0049442947
917,50,10,0.2705456,0.2754936,-0.00494799
1144,40,25,0.280502,0.28550494,-0.0050029457
1019,36,18,0.27832606,0.2833519,-0.005025834
878,33,8,0.28421918,0.28924966,-0.005030483
414,22,42,0.2735052,0.27853674,-0.005031526
775,32,4,0.27638373,0.28141788,-0.0050341487
174,8,13,0.27911323,0.28416488,-0.0050516427
61,2,71,0.27558315,0.28064454,-0.005061388
840,8,7,0.27048284,0.27555162,-0.005068779
520,28,60,0.28323224,0.2883086,-0.005076349
992,71,15,0.27744517,0.28253663,-0.0050914586
564,32,59,0.27762046,0.28271696,-0.005096495
183,8,35,0.27319974,0.27829888,-0.0050991476
1237,50,30,0.2772126,0.28232032,-0.0051077306
271,14,46,0.2724249,0.2775362,-0.005111307
815,13,6,0.27721414,0.28234693,-0.0051327944
1070,64,20,0.26820913,0.27337447,-0.0051653385
529,28,73,0.27158612,0.2767558,-0.0051696897
1320,51,42,0.27151874,0.27673337,-0.0052146316
688,63,70,0.27694032,0.2821751,-0.005234778
901,22,9,0.27801767,0.28326792,-0.0052502453
871,13,8,0.2776261,0.28291076,-0.005284667
676,55,61,0.2638337,0.26912335,-0.005289644
1358,67,52,0.2738798,0.2792025,-0.005322695
1341,55,48,0.2782646,0.2835878,-0.0053232014
1234,73,29,0.27444002,0.27976766,-0.005327642
155,7,33,0.26906478,0.27439606,-0.005331278
697,1,0,0.27039203,0.27572483,-0.0053327978
72,4,13,0.27630636,0.28166193,-0.0053555667
723,59,1,0.2658492,0.27121836,-0.0053691566
902,26,9,0.2767136,0.28208488,-0.0053712726
479,26,64,0.27554357,0.28095704,-0.0054134727
861,63,7,0.27395314,0.27936986,-0.005416721
267,14,38,0.27108204,0.27651083,-0.005428791
1289,55,35,0.27485585,0.28028697,-0.0054311156
1215,57,28,0.2740345,0.27947783,-0.0054433346
1026,57,18,0.27488458,0.28034154,-0.0054569542
800,53,5,0.2731992,0.27866527,-0.0054660738
665,53,54,0.2801106,0.2856117,-0.0055010915
1009,66,17,0.27341607,0.27893272,-0.0055166483
1082,45,21,0.27702525,0.282543,-0.005517751
311,17,56,0.27581403,0.28133306,-0.0055190325
92,5,18,0.27317685,0.27872652,-0.0055496693
325,18,50,0.2701182,0.27567038,-0.0055521727
1097,25,22,0.27195463,0.27750814,-0.0055535138
