feature,control,ms,delta
degree,0.42706645,0.34299552,0.08407092
strength,0.39590403,0.41488284,-0.018978804
betweenness,0.08907436,0.07594079,0.013133571
closeness,0.27457958,0.27301586,0.0015637279
eigenvector,0.27527514,0.27506882,0.00020632148
