feature,control,ms,delta
degree,0.3519713,0.48442167,-0.13245037
strength,0.49108168,0.37884235,0.11223933
betweenness,0.20031744,0.1996137,0.00070373714
closeness,0.2744586,0.27462378,-0.00016519427
eigenvector,0.2734518,0.2752254,-0.0017735958
