edge_idx,source,target,control,ms,delta
2235,40,56,0.2733258,0.27925152,-0.005925715
4008,37,17,0.27931443,0.28525016,-0.0059357285
3524,45,9,0.27660745,0.28254446,-0.00593701
1190,17,69,0.27870667,0.28465196,-0.005945295
4878,74,34,0.27574557,0.28169444,-0.0059488714
2710,58,72,0.27467895,0.28063086,-0.005951911
306,4,17,0.27425882,0.280215,-0.005956173
1116,16,53,0.2756049,0.28157547,-0.0059705675
2102,36,69,0.27913436,0.28511277,-0.0059784055
2242,40,63,0.27512205,0.28110963,-0.0059875846
3932,19,16,0.2746328,0.28062394,-0.005991131
2955,32,1,0.28159726,0.28759655,-0.005999297
5554,66,58,0.27915666,0.28515652,-0.005999863
4127,43,19,0.27360567,0.27961156,-0.006005883
4592,49,28,0.2746154,0.28062174,-0.0060063303
3672,64,11,0.2786402,0.2846514,-0.006011188
4030,59,17,0.27704987,0.28308642,-0.00603655
4520,72,26,0.27583355,0.28187189,-0.006038338
729,10,35,0.27348837,0.27952844,-0.0060400665
2268,41,55,0.28046283,0.28650945,-0.006046623
2021,34,67,0.27641404,0.28246528,-0.0060512424
1487,23,39,0.27385548,0.27991506,-0.006059587
1081,16,18,0.27334183,0.27940434,-0.0060625076
2474,48,51,0.27303743,0.27910334,-0.006065905
2927,4,1,0.27425152,0.28031835,-0.006066829
338,4,49,0.28089204,0.2869726,-0.006080568
896,12,75,0.27132463,0.2774128,-0.0060881674
203,2,57,0.27460566,0.280697,-0.0060913265
1189,17,68,0.27888328,0.28498834,-0.0061050653
3229,20,5,0.27376673,0.27987656,-0.0061098337
5390,66,50,0.27984062,0.28595102,-0.0061104
752,10,58,0.2674634,0.27358702,-0.006123632
4451,52,25,0.27480915,0.28095195,-0.006142795
966,14,22,0.2735174,0.2796606,-0.0061432123
4265,72,21,0.27323848,0.27938396,-0.0061454773
4166,27,20,0.27789044,0.28403658,-0.006146133
1075,15,71,0.27940005,0.28554648,-0.006146431
4468,69,25,0.27997008,0.2861176,-0.0061475337
626,8,63,0.27458587,0.28073838,-0.0061525106
5119,56,41,0.27619007,0.28234544,-0.0061553717
3304,26,6,0.2727003,0.27886575,-0.006165445
462,6,34,0.2775958,0.28377312,-0.006177336
3325,47,6,0.27477852,0.2809592,-0.006180674
2410,45,71,0.27769136,0.28388155,-0.006190181
2086,36,53,0.27349293,0.27968892,-0.006195992
5582,63,60,0.27657667,0.28277704,-0.006200373
4437,38,25,0.27472216,0.28092372,-0.0062015653
5374,75,49,0.27411836,0.28032768,-0.006209314
4785,64,32,0.2765703,0.28279263,-0.0062223375
2048,35,54,0.27316037,0.27938282,-0.0062224567
5461,68,53,0.27463,0.2808573,-0.0062272847
601,8,38,0.27429286,0.2805284,-0.00623554
4818,55,33,0.27592853,0.28216437,-0.006235838
1348,20,59,0.28009853,0.28633592,-0.0062373877
1248,18,70,0.28073153,0.28697184,-0.0062403083
9,0,10,0.2783846,0.28462768,-0.00624308
4122,38,19,0.27199244,0.2782385,-0.00624606
2967,44,1,0.27305648,0.27930367,-0.0062471926
294,4,5,0.27608126,0.28233963,-0.0062583685
2770,62,74,0.27832785,0.2845883,-0.0062604547
1903,31,75,0.27478942,0.28105113,-0.0062617064
3822,28,14,0.27502686,0.28129816,-0.0062713027
4791,70,32,0.2766698,0.2829414,-0.0062716007
5167,71,42,0.27715656,0.2834286,-0.0062720478
1125,16,62,0.276118,0.28240326,-0.00628525
945,13,62,0.271778,0.27806413,-0.0062861443
4611,68,28,0.2714841,0.27778414,-0.006300032
3239,30,5,0.2748878,0.28119704,-0.006309241
2192,39,48,0.27132916,0.27764362,-0.0063144565
4415,66,24,0.27145725,0.27778018,-0.0063229203
1963,33,50,0.27482998,0.28115314,-0.0063231587
4658,69,29,0.2740419,0.28036693,-0.0063250363
4608,65,28,0.27220708,0.27854082,-0.0063337386
3614,70,10,0.27836895,0.28471234,-0.0063433945
2850,1,0,0.27595043,0.28229603,-0.0063456
5292,74,46,0.27659452,0.28295234,-0.006357819
2149,38,41,0.27890968,0.2852724,-0.0063627064
618,8,55,0.27604866,0.28241614,-0.006367475
3871,17,15,0.27347463,0.27987185,-0.0063972175
4410,61,24,0.27704632,0.28344378,-0.006397456
2387,45,48,0.27157107,0.2779687,-0.0063976347
1775,29,36,0.27285963,0.27927276,-0.006413132
281,3,63,0.27462074,0.28103453,-0.0064137876
1293,19,59,0.27428892,0.28070977,-0.0064208508
4023,52,17,0.28163984,0.2880666,-0.0064267516
2877,28,0,0.26906168,0.27548888,-0.0064271986
3008,12,2,0.27765495,0.28408322,-0.0064282715
4495,47,26,0.27841935,0.28485066,-0.0064313114
2253,40,74,0.27728203,0.28371492,-0.006432891
2916,67,0,0.2738661,0.2803026,-0.006436527
146,1,73,0.27857813,0.2850233,-0.0064451694
5180,52,43,0.27658656,0.28303576,-0.0064491928
1665,26,67,0.27868482,0.2851346,-0.006449789
4847,43,34,0.27428612,0.2807365,-0.006450385
2177,38,69,0.27686402,0.2833181,-0.0064540803
5396,72,50,0.27217507,0.27863398,-0.0064589083
334,4,45,0.27221814,0.2786812,-0.006463051
3151,12,4,0.2795651,0.2860359,-0.0064707994
4810,47,33,0.2803446,0.28681886,-0.0064742565
682,9,53,0.27206534,0.27853963,-0.0064742863
53,0,54,0.28018722,0.28667033,-0.006483108
5444,73,52,0.27983528,0.28632522,-0.0064899325
313,4,24,0.2785825,0.28507608,-0.0064935684
3272,63,5,0.27469584,0.28119022,-0.006494373
4323,25,23,0.27796292,0.28446,-0.006497085
2399,45,60,0.27799872,0.28449667,-0.0064979494
2025,34,71,0.27544323,0.2819421,-0.0064988732
3880,26,15,0.28042668,0.2869313,-0.006504625
725,10,31,0.2780301,0.28453815,-0.0065080523
1933,32,62,0.27557197,0.28208005,-0.006508082
3755,22,13,0.28152958,0.28804022,-0.006510645
1596,25,47,0.2792839,0.2858012,-0.006517291
915,13,32,0.28358674,0.29010752,-0.006520778
2581,52,60,0.2752254,0.2817491,-0.0065236986
1756,28,63,0.2776033,0.2841279,-0.0065245926
5101,72,40,0.273908,0.28044635,-0.0065383613
1548,24,49,0.2763703,0.28291127,-0.006540984
5212,53,44,0.2800205,0.28657228,-0.0065517724
5522,69,56,0.27928427,0.28583753,-0.0065532625
5344,71,48,0.27356836,0.28012803,-0.00655967
5152,56,42,0.27257085,0.27915165,-0.0065808
1295,19,61,0.27144477,0.2780268,-0.0065820217
145,1,72,0.27614588,0.28272864,-0.006582767
5568,64,59,0.2734159,0.28000745,-0.0065915585
3502,23,9,0.27928263,0.2858768,-0.006594181
753,10,59,0.27841488,0.2850103,-0.0065954328
197,2,51,0.2734183,0.28001386,-0.006595552
1480,23,32,0.27448285,0.28108242,-0.0065995753
716,10,22,0.2782104,0.2848125,-0.0066021085
559,7,63,0.27782577,0.28443196,-0.0066061914
926,13,43,0.27731085,0.2839171,-0.006606251
1092,16,29,0.27448362,0.28109425,-0.006610632
489,6,61,0.27378315,0.2803961,-0.0066129565
4746,68,31,0.27849555,0.2851124,-0.0066168606
3535,56,9,0.27786174,0.28448117,-0.0066194236
3412,66,7,0.2785363,0.28516322,-0.006626934
4927,44,36,0.2739931,0.28062078,-0.006627679
5431,60,52,0.2778382,0.2844692,-0.006630987
1706,27,60,0.2776359,0.2842825,-0.0066466033
5239,50,45,0.27551007,0.28215864,-0.0066485703
1165,17,44,0.2716406,0.27829015,-0.006649554
575,8,12,0.27517602,0.28183135,-0.0066553354
4682,48,30,0.27739823,0.28406265,-0.006664425
4074,46,18,0.27425152,0.28092608,-0.006674558
772,11,14,0.27613446,0.28281063,-0.0066761672
2991,68,1,0.2770308,0.28371683,-0.006686032
5537,66,57,0.27566352,0.28235018,-0.0066866577
4456,57,25,0.27907342,0.28576195,-0.006688535
694,9,65,0.27221477,0.27890524,-0.0066904724
1563,24,64,0.274362,0.2810539,-0.006691903
1358,20,69,0.2720908,0.2787869,-0.006696105
3676,68,11,0.2818421,0.28853926,-0.006697148
162,2,16,0.2755352,0.28223434,-0.006699145
4645,56,29,0.2763141,0.28302228,-0.006708175
4402,53,24,0.2740295,0.28073975,-0.006710261
2274,41,61,0.27669132,0.2834023,-0.0067109764
3708,37,12,0.27848324,0.28519624,-0.006713003
3959,46,16,0.26778868,0.27450168,-0.006713003
1392,21,49,0.276327,0.28304037,-0.0067133605
2006,34,52,0.27524334,0.28196877,-0.0067254305
2702,58,64,0.27388343,0.28061378,-0.006730348
4619,30,29,0.27641174,0.2831426,-0.0067308545
4543,47,27,0.27539268,0.2821295,-0.006736815
2639,54,75,0.28019282,0.28693247,-0.006739646
2703,58,65,0.2771546,0.28389603,-0.0067414343
1339,20,50,0.27534533,0.2820897,-0.0067443848
3407,61,7,0.27974793,0.28649873,-0.0067507923
2570,51,72,0.27983782,0.28658983,-0.006752014
3161,22,4,0.27224192,0.27899405,-0.0067521334
1780,29,41,0.27305624,0.27980855,-0.006752312
2589,52,68,0.2762627,0.28301656,-0.006753862
1644,26,46,0.27890447,0.2856593,-0.0067548454
1461,22,65,0.27296415,0.2797218,-0.006757647
4529,33,27,0.27678928,0.28355253,-0.0067632496
1404,21,61,0.2708901,0.27765888,-0.006768793
1259,19,25,0.27904248,0.2858189,-0.0067764223
2872,23,0,0.2701608,0.2769464,-0.0067856014
2812,66,74,0.28151,0.28831583,-0.006805837
3968,55,16,0.27781692,0.2846248,-0.0068078637
5065,71,39,0.27074766,0.27755597,-0.0068083107
4159,75,19,0.28146145,0.2882838,-0.0068223476
1643,26,45,0.27794492,0.28477016,-0.0068252385
4700,66,30,0.27803934,0.28487474,-0.006835401
1918,32,47,0.27244172,0.27929547,-0.0068537593
837,12,16,0.2722562,0.27912056,-0.006864369
1200,18,22,0.27153715,0.27840984,-0.0068726838
5574,70,59,0.27923548,0.28611475,-0.00687927
5303,57,47,0.2755476,0.28242743,-0.0068798363
89,1,16,0.27481002,0.28169146,-0.0068814456
103,1,30,0.27736166,0.28424418,-0.0068825185
