feature,control,ms,delta
degree,0.4228488,0.41702142,0.0058273673
strength,0.3108907,0.31069127,0.00019943714
betweenness,0.16421223,0.1718476,-0.00763537
closeness,0.27386457,0.27351758,0.00034698844
eigenvector,0.27471355,0.27495283,-0.00023928285
