Node,Layer,Metric,Control,EM,Delta,Cohort
0,FA,Betweenness_mean,0.024664664664664666,0.017498602050326186,0.00716606261433848,HCB
0,FA,Closeness_mean,0.6926747083474912,0.6928511096521248,-0.00017640130463358883,HCB
0,FA,Degree_mean,41.72222222222222,41.744827586206895,-0.022605363984673943,HCB
0,FA,Eigenvector_mean,0.09646907519516038,0.09757594893559078,-0.0011068737404304058,HCB
0,FA,Strength_mean,26.839023150156567,27.047648817684447,-0.2086256675278797,HCB
0,GM,Betweenness_mean,0.06875675675675676,0.036319353836595215,0.03243740292016154,HCB
0,GM,Closeness_mean,0.9043001273386228,0.910460712678702,-0.006160585340079239,HCB
0,GM,Degree_mean,67.0,67.6,-0.5999999999999943,HCB
0,GM,Eigenvector_mean,0.11863402038603887,0.11213752753643345,0.00649649284960542,HCB
0,GM,Strength_mean,48.50940963340373,46.28606895012676,2.223340683276966,HCB
0,rsfMRI,Betweenness_mean,0.005025025025025025,0.013268716992854925,-0.0082436919678299,HCB
0,rsfMRI,Closeness_mean,0.9950503083414477,0.9940758753882635,0.0009744329531842233,HCB
0,rsfMRI,Degree_mean,74.61111111111111,74.53103448275863,0.08007662835248652,HCB
0,rsfMRI,Eigenvector_mean,0.11585318994395183,0.11443986771226823,0.0014133222316835975,HCB
0,rsfMRI,Strength_mean,43.666928270404355,42.95636490366817,0.7105633667361886,HCB
1,FA,Betweenness_mean,0.01029029029029029,0.011720410065237651,-0.0014301197749473603,HCB
1,FA,Closeness_mean,0.734500920109144,0.7332065297951235,0.001294390314020566,HCB
1,FA,Degree_mean,47.888888888888886,47.682758620689654,0.20613026819923164,HCB
1,FA,Eigenvector_mean,0.11614592987760454,0.11645176598143314,-0.00030583610382860227,HCB
1,FA,Strength_mean,31.377808905671163,31.58214818817544,-0.20433928250427869,HCB
1,GM,Betweenness_mean,0.004648648648648649,0.022643056849953404,-0.017994408201304754,HCB
1,GM,Closeness_mean,0.9004623143737742,0.8990490897718603,0.0014132246019139538,HCB
1,GM,Degree_mean,66.7,66.55862068965517,0.1413793103448313,HCB
1,GM,Eigenvector_mean,0.11482044154373457,0.11430747517734624,0.000512966366388326,HCB
1,GM,Strength_mean,46.84403240825939,46.29279010900374,0.551242299255648,HCB
1,rsfMRI,Betweenness_mean,0.017337337337337336,0.015326498912705811,0.0020108384246315253,HCB
1,rsfMRI,Closeness_mean,0.9956892522681997,0.9941597200827937,0.0015295321854059685,HCB
