,AGE,AGE,AGE,AGE,AGE,AGE,AGE,AGE,SEX,SEX,SEX,SEX,SEX,SEX,SEX,SEX,EDSS,EDSS,EDSS,EDSS,EDSS,EDSS,EDSS,EDSS,DD,DD,DD,DD,DD,DD,DD,DD
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
dd_grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<2,3.0,20.922655715263517,3.9127412883532644,16.424366872005475,19.61533196440794,22.806297056810404,23.17180013689254,23.537303216974674,3.0,0.6666666666666666,0.5773502691896258,0.0,0.5,1.0,1.0,1.0,3.0,2.0,0.5,1.5,1.75,2.0,2.25,2.5,3.0,0.8204426192105863,0.6805161146746856,0.2655715263518138,0.4407939767282683,0.6160164271047228,1.0978781656399725,1.5797399041752225
2–5,3.0,36.53753137120694,6.347355189682206,31.200547570157426,33.0280629705681,34.85557837097878,39.206023271731695,43.5564681724846,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.166666666666667,1.2583057392117916,3.0,3.5,4.0,4.75,5.5,3.0,3.032626055213324,0.2984299220842249,2.702258726899384,2.9075975359342916,3.1129363449691994,3.1978097193702943,3.2826830937713893
5–10,19.0,42.388702763067826,11.770548490018596,19.477070499657767,35.99452429842573,38.992470910335385,50.08898015058179,63.931553730321696,19.0,0.3157894736842105,0.4775669329409193,0.0,0.0,0.0,1.0,1.0,19.0,4.105263157894737,1.8301407608920037,1.5,2.5,4.5,5.75,6.5,19.0,7.05169494578335,1.3521633164953621,5.234770704996578,6.076659822039699,6.9897330595482545,7.796030116358658,9.817932922655714
10–20,14.0,37.550796910139816,8.873837458611247,18.951403148528406,32.95619438740589,34.74880219028063,44.586584531143046,50.926762491444215,14.0,0.35714285714285715,0.4972451580988468,0.0,0.0,0.0,1.0,1.0,14.0,4.321428571428571,2.0438194152609963,1.5,2.25,4.0,6.0,7.0,14.0,13.478830546592357,2.4061928170350586,10.765229295003422,11.774811772758385,13.01163586584531,14.372347707049965,19.468856947296374
20+,13.0,54.35728952772074,9.348238595623181,36.64613278576318,48.90896646132786,52.62422997946612,64.02190280629706,66.81724845995893,13.0,0.3076923076923077,0.48038446141526137,0.0,0.0,0.0,1.0,1.0,13.0,5.384615384615385,1.2442173938170626,3.0,4.5,6.0,6.5,7.0,13.0,26.693834570631285,4.197296474752628,20.503764544832308,23.641341546885695,26.439425051334702,29.880903490759753,32.884325804243666
