Node,Group,Layer,Metric,Value
30,EM,MULTILAYER,Degree_mean,147.08275862068965
30,EM,MULTINEXT,Degree_mean,147.08275862068965
31,Control,MULTILAYER,Degree_mean,149.2
31,Control,MULTINEXT,Degree_mean,149.2
31,EM,MULTILAYER,Degree_mean,149.04137931034484
31,EM,MULTINEXT,Degree_mean,149.04137931034484
32,Control,MULTILAYER,Degree_mean,145.9
32,Control,MULTINEXT,Degree_mean,145.9
32,EM,MULTILAYER,Degree_mean,146.0758620689655
32,EM,MULTINEXT,Degree_mean,146.0758620689655
33,Control,MULTILAYER,Degree_mean,149.4
33,Control,MULTINEXT,Degree_mean,149.4
33,EM,MULTILAYER,Degree_mean,149.02068965517242
33,EM,MULTINEXT,Degree_mean,149.02068965517242
34,Control,MULTILAYER,Degree_mean,148.7
34,Control,MULTINEXT,Degree_mean,148.7
34,EM,MULTILAYER,Degree_mean,149.06896551724137
34,EM,MULTINEXT,Degree_mean,149.06896551724137
35,Control,MULTILAYER,Degree_mean,147.4
35,Control,MULTINEXT,Degree_mean,147.4
35,EM,MULTILAYER,Degree_mean,147.02758620689656
35,EM,MULTINEXT,Degree_mean,147.02758620689656
36,Control,MULTILAYER,Degree_mean,138.9
36,Control,MULTINEXT,Degree_mean,138.9
36,EM,MULTILAYER,Degree_mean,139.12413793103448
36,EM,MULTINEXT,Degree_mean,139.12413793103448
37,Control,MULTILAYER,Degree_mean,142.2
37,Control,MULTINEXT,Degree_mean,142.2
37,EM,MULTILAYER,Degree_mean,142.08275862068965
37,EM,MULTINEXT,Degree_mean,142.08275862068965
38,Control,MULTILAYER,Degree_mean,148.9
38,Control,MULTINEXT,Degree_mean,148.9
38,EM,MULTILAYER,Degree_mean,149.04827586206898
38,EM,MULTINEXT,Degree_mean,149.04827586206898
39,Control,MULTILAYER,Degree_mean,148.2
39,Control,MULTINEXT,Degree_mean,148.2
39,EM,MULTILAYER,Degree_mean,148.04137931034484
39,EM,MULTINEXT,Degree_mean,148.04137931034484
40,Control,MULTILAYER,Degree_mean,148.8
40,Control,MULTINEXT,Degree_mean,148.8
40,EM,MULTILAYER,Degree_mean,149.05517241379312
40,EM,MULTINEXT,Degree_mean,149.05517241379312
41,Control,MULTILAYER,Degree_mean,149.6
41,Control,MULTINEXT,Degree_mean,149.6
41,EM,MULTILAYER,Degree_mean,149.0
41,EM,MULTINEXT,Degree_mean,149.0
42,Control,MULTILAYER,Degree_mean,147.0
42,Control,MULTINEXT,Degree_mean,147.0
42,EM,MULTILAYER,Degree_mean,147.06206896551726
42,EM,MULTINEXT,Degree_mean,147.06206896551726
43,Control,MULTILAYER,Degree_mean,140.2
43,Control,MULTINEXT,Degree_mean,140.2
43,EM,MULTILAYER,Degree_mean,140.08965517241379
43,EM,MULTINEXT,Degree_mean,140.08965517241379
44,Control,MULTILAYER,Degree_mean,140.2
44,Control,MULTINEXT,Degree_mean,140.2
44,EM,MULTILAYER,Degree_mean,140.08965517241379
44,EM,MULTINEXT,Degree_mean,140.08965517241379
45,Control,MULTILAYER,Degree_mean,135.4
45,Control,MULTINEXT,Degree_mean,135.4
45,EM,MULTILAYER,Degree_mean,135.10344827586206
45,EM,MULTINEXT,Degree_mean,135.10344827586206
46,Control,MULTILAYER,Degree_mean,140.9
46,Control,MULTINEXT,Degree_mean,140.9
46,EM,MULTILAYER,Degree_mean,141.10344827586206
46,EM,MULTINEXT,Degree_mean,141.10344827586206
47,Control,MULTILAYER,Degree_mean,143.2
47,Control,MULTINEXT,Degree_mean,143.2
47,EM,MULTILAYER,Degree_mean,143.06206896551726
47,EM,MULTINEXT,Degree_mean,143.06206896551726
48,Control,MULTILAYER,Degree_mean,121.4
48,Control,MULTINEXT,Degree_mean,121.4
48,EM,MULTILAYER,Degree_mean,121.2
48,EM,MULTINEXT,Degree_mean,121.2
49,Control,MULTILAYER,Degree_mean,137.6
49,Control,MULTINEXT,Degree_mean,137.6
49,EM,MULTILAYER,Degree_mean,137.0758620689655
49,EM,MULTINEXT,Degree_mean,137.0758620689655
50,Control,MULTILAYER,Degree_mean,148.7
50,Control,MULTINEXT,Degree_mean,148.7
50,EM,MULTILAYER,Degree_mean,147.99310344827586
50,EM,MULTINEXT,Degree_mean,147.99310344827586
51,Control,MULTILAYER,Degree_mean,146.2
51,Control,MULTINEXT,Degree_mean,146.2
51,EM,MULTILAYER,Degree_mean,146.04137931034484
51,EM,MULTINEXT,Degree_mean,146.04137931034484
52,Control,MULTILAYER,Degree_mean,146.6
52,Control,MULTINEXT,Degree_mean,146.6
52,EM,MULTILAYER,Degree_mean,146.02068965517242
52,EM,MULTINEXT,Degree_mean,146.02068965517242
53,Control,MULTILAYER,Degree_mean,145.5
53,Control,MULTINEXT,Degree_mean,145.5
53,EM,MULTILAYER,Degree_mean,145.02758620689656
53,EM,MULTINEXT,Degree_mean,145.02758620689656
54,Control,MULTILAYER,Degree_mean,144.9
54,Control,MULTINEXT,Degree_mean,144.9
54,EM,MULTILAYER,Degree_mean,145.06896551724137
54,EM,MULTINEXT,Degree_mean,145.06896551724137
55,Control,MULTILAYER,Degree_mean,137.7
55,Control,MULTINEXT,Degree_mean,137.7
55,EM,MULTILAYER,Degree_mean,137.0758620689655
55,EM,MULTINEXT,Degree_mean,137.0758620689655
56,Control,MULTILAYER,Degree_mean,148.9
56,Control,MULTINEXT,Degree_mean,148.9
56,EM,MULTILAYER,Degree_mean,149.04827586206898
56,EM,MULTINEXT,Degree_mean,149.04827586206898
57,Control,MULTILAYER,Degree_mean,148.5
