sub-0001 0.126030 0.155114 0.075599 0.122521 0.130541 0.106313 0.142900 0.135765 0.091170 0.132643 0.094672 0.157537 0.111181 0.110802 0.142056 0.123583 0.117058 0.148501 0.080147 0.138212 0.112873 0.157555 0.119892 0.137633 0.130078 0.169768 0.122315 0.126935 0.133222 0.128822 0.148546 0.324015 0.181087 0.199383 0.302488 0.140786 0.150756 0.235589 0.316187 0.175355 0.160209 0.295950 0.133928 0.142868 0.165642 0.138119 0.141015 0.078127 0.120586 0.116857 0.108923 0.140257 0.132711 0.090579 0.120406 0.093408 0.130017 0.115118 0.112410 0.127468 0.121742 0.119078 0.132510 0.072228 0.132995 0.118209 0.142996 0.123127 0.110973 0.151969 0.160402 0.114224 0.125014 0.137323 0.112845 0.139207 
sub-0002 0.137124 0.129887 0.080547 0.130638 0.113284 0.105551 0.139676 0.116486 0.082512 0.125615 0.084142 0.167965 0.120675 0.096045 0.115381 0.121053 0.138748 0.138609 0.086418 0.116883 0.104349 0.136620 0.111090 0.131674 0.133124 0.138675 0.109111 0.131807 0.131080 0.129708 0.143969 0.366370 0.220206 0.215582 0.351165 0.135261 0.171005 0.227346 0.324502 0.178311 0.180939 0.312328 0.151613 0.133470 0.244532 0.121650 0.129959 0.097591 0.142671 0.114677 0.099364 0.136867 0.108695 0.095409 0.151663 0.090440 0.142158 0.117571 0.091912 0.117779 0.119161 0.102975 0.117801 0.070381 0.116064 0.105901 0.120405 0.112286 0.129320 0.124577 0.142509 0.112583 0.125164 0.119006 0.122426 0.134654 
sub-0003 0.109621 0.107655 0.089298 0.126033 0.116021 0.095920 0.135421 0.112577 0.088280 0.127532 0.099314 0.125893 0.109661 0.130408 0.105184 0.114810 0.125052 0.112755 0.085757 0.104508 0.102554 0.115502 0.107754 0.110548 0.119033 0.128415 0.103606 0.117525 0.110222 0.101990 0.124432 0.354129 0.150321 0.165452 0.246621 0.187486 0.149346 0.204929 0.323845 0.134468 0.160444 0.273365 0.173367 0.119598 0.174436 0.127662 0.126083 0.102893 0.120916 0.122785 0.103948 0.129014 0.121594 0.104589 0.127095 0.104097 0.114315 0.121034 0.109913 0.115253 0.116398 0.129868 0.124160 0.078095 0.103727 0.114015 0.116394 0.114698 0.117400 0.127499 0.134893 0.114820 0.120377 0.109135 0.117805 0.117330 
sub-0004 0.124650 0.118367 0.087348 0.140727 0.122936 0.114695 0.130150 0.144920 0.094023 0.144104 0.096490 0.145349 0.117733 0.115583 0.100571 0.121338 0.131230 0.116142 0.070328 0.112470 0.107872 0.123604 0.123565 0.132144 0.121137 0.133385 0.113570 0.133092 0.108549 0.115032 0.156259 0.330816 0.180320 0.171300 0.408784 0.145170 0.166633 0.193436 0.306965 0.184488 0.155995 0.308426 0.142391 0.128416 0.170358 0.141243 0.120970 0.091317 0.141309 0.126560 0.116076 0.146616 0.132668 0.111345 0.142813 0.111815 0.139776 0.122143 0.119311 0.103857 0.127211 0.125381 0.132542 0.073802 0.101473 0.119466 0.113848 0.127827 0.147713 0.121296 0.135143 0.127516 0.128140 0.108645 0.135168 0.148403 
sub-0005 0.143922 0.130091 0.100755 0.148164 0.125079 0.108867 0.158107 0.135797 0.080383 0.136357 0.099966 0.142566 0.126004 0.118442 0.136942 0.118390 0.128341 0.124462 0.080061 0.128434 0.116825 0.137912 0.134813 0.137545 0.117079 0.148980 0.119825 0.126520 0.123463 0.103590 0.143331 0.346533 0.171095 0.194088 0.343532 0.142109 0.138236 0.245435 0.318287 0.154462 0.159490 0.318999 0.140852 0.138339 0.255900 0.132416 0.136722 0.101822 0.111615 0.123760 0.110845 0.150091 0.143123 0.093448 0.137469 0.094218 0.144796 0.130908 0.128296 0.130334 0.118792 0.125047 0.113861 0.078223 0.117664 0.120810 0.145844 0.138359 0.129947 0.133843 0.153386 0.124243 0.125194 0.124122 0.114987 0.147867 
sub-0006 0.139648 0.105824 0.082142 0.149459 0.113172 0.092622 0.116101 0.100284 0.089690 0.125594 0.092467 0.140297 0.104201 0.112169 0.114904 0.131111 0.150431 0.117496 0.074586 0.099936 0.120618 0.109873 0.095637 0.114896 0.116219 0.133607 0.103961 0.122715 0.102489 0.113279 0.146081 0.347760 0.230206 0.240582 0.407172 0.130425 0.179537 0.206767 0.334735 0.211828 0.226881 0.348880 0.119628 0.145267 0.190313 0.136623 0.120072 0.084830 0.137589 0.120022 0.097343 0.118218 0.103450 0.095087 0.130213 0.095900 0.131564 0.107804 0.092492 0.102820 0.132963 0.129154 0.126437 0.084754 0.106903 0.113670 0.115367 0.095356 0.125560 0.118476 0.137819 0.099619 0.118275 0.114788 0.141009 0.130983 
sub-0007 0.123212 0.118703 0.081765 0.120070 0.130131 0.104785 0.146026 0.112594 0.091705 0.127615 0.097938 0.129247 0.123421 0.127192 0.112012 0.113572 0.115858 0.132065 0.068233 0.114085 0.115813 0.133004 0.106086 0.129408 0.136794 0.140719 0.092220 0.132065 0.112710 0.115537 0.131497 0.320978 0.170292 0.155753 0.290763 0.135808 0.152842 0.201328 0.299629 0.137149 0.144635 0.313973 0.138458 0.129692 0.186437 0.136908 0.120670 0.088420 0.119255 0.128119 0.099900 0.148004 0.120467 0.097508 0.128066 0.094717 0.125018 0.128110 0.109254 0.105913 0.116411 0.115334 0.116155 0.065869 0.100984 0.117104 0.113469 0.100760 0.139197 0.135364 0.133653 0.096711 0.130404 0.116825 0.120623 0.134764 
sub-0008 0.126375 0.126462 0.078105 0.138205 0.122180 0.102960 0.149670 0.123770 0.093932 0.118395 0.094892 0.148260 0.116499 0.112704 0.151694 0.128559 0.114685 0.130780 0.071269 0.125314 0.119761 0.143114 0.117607 0.139036 0.132981 0.145675 0.112733 0.131076 0.119523 0.136806 0.137972 0.388620 0.214801 0.208946 0.332903 0.147655 0.180051 0.233401 0.353141 0.198453 0.173285 0.278795 0.127007 0.163692 0.188540 0.129167 0.125918 0.090146 0.129677 0.112999 0.109398 0.148734 0.133224 0.090207 0.122153 0.111986 0.149411 0.108039 0.113770 0.125366 0.132396 0.116536 0.145873 0.077315 0.124244 0.120385 0.133512 0.116747 0.134368 0.142772 0.147355 0.115818 0.133113 0.125735 0.113592 0.132956 
sub-0009 0.124751 0.132786 0.074879 0.155201 0.125882 0.100585 0.137998 0.121919 0.088292 0.128621 0.110881 0.164128 0.110012 0.122817 0.101021 0.106144 0.113897 0.104154 0.099161 0.099921 0.127694 0.115935 0.111929 0.109246 0.118524 0.130285 0.135118 0.110036 0.099391 0.081949 0.140443 0.376262 0.217786 0.224695 0.265294 0.134430 0.177435 0.222460 0.336743 0.216907 0.205117 0.283940 0.128189 0.135430 0.198973 0.124059 0.118572 0.092037 0.134988 0.120037 0.091692 0.125672 0.112533 0.104064 0.137653 0.120802 0.150794 0.104092 0.116502 0.106739 0.100789 0.123858 0.106648 0.087850 0.095280 0.111274 0.099676 0.105222 0.109823 0.120787 0.129063 0.099420 0.107407 0.095115 0.105499 0.133946 
sub-0010 0.133792 0.130151 0.094487 0.135689 0.108764 0.099129 0.135914 0.134170 0.081516 0.133370 0.087192 0.148841 0.114470 0.119752 0.128063 0.118259 0.117862 0.126929 0.081187 0.100542 0.107932 0.127990 0.113127 0.113667 0.134966 0.132101 0.100854 0.131681 0.095625 0.089920 0.153511 0.347951 0.157177 0.172255 0.289473 0.152527 0.174627 0.340172 0.330460 0.156881 0.180375 0.258981 0.154552 0.149094 0.344219 0.147756 0.114368 0.084327 0.118433 0.116598 0.096419 0.133894 0.114078 0.089523 0.135582 0.090280 0.143637 0.118400 0.120341 0.125013 0.126750 0.137308 0.121300 0.066210 0.105129 0.108498 0.118423 0.104959 0.110398 0.120068 0.123208 0.109705 0.125250 0.103715 0.115501 0.129837 
