Node,Group,Layer,Metric,Value
22,EM,FA,Degree_mean,74.49655172413793
22,EM,GM,Degree_mean,74.51724137931035
22,EM,rsfMRI,Degree_mean,74.52413793103449
23,Control,FA,Degree_mean,69.83333333333333
23,Control,GM,Degree_mean,74.4
23,Control,rsfMRI,Degree_mean,74.94444444444444
23,EM,FA,Degree_mean,69.53793103448275
23,EM,GM,Degree_mean,74.52413793103449
23,EM,rsfMRI,Degree_mean,74.48965517241379
24,Control,FA,Degree_mean,67.94444444444444
24,Control,GM,Degree_mean,74.7
24,Control,rsfMRI,Degree_mean,74.83333333333333
24,EM,FA,Degree_mean,67.53793103448275
24,EM,GM,Degree_mean,74.50344827586207
24,EM,rsfMRI,Degree_mean,74.50344827586207
25,Control,FA,Degree_mean,71.0
25,Control,GM,Degree_mean,74.3
25,Control,rsfMRI,Degree_mean,74.77777777777777
25,EM,FA,Degree_mean,70.51034482758621
25,EM,GM,Degree_mean,74.53103448275863
25,EM,rsfMRI,Degree_mean,74.51034482758621
26,Control,FA,Degree_mean,73.0
26,Control,GM,Degree_mean,74.2
26,Control,rsfMRI,Degree_mean,74.61111111111111
26,EM,FA,Degree_mean,72.49655172413793
26,EM,GM,Degree_mean,74.53793103448275
26,EM,rsfMRI,Degree_mean,74.53103448275863
27,Control,FA,Degree_mean,73.94444444444444
27,Control,GM,Degree_mean,74.7
27,Control,rsfMRI,Degree_mean,74.77777777777777
27,EM,FA,Degree_mean,73.49655172413793
27,EM,GM,Degree_mean,74.50344827586207
27,EM,rsfMRI,Degree_mean,74.51034482758621
28,Control,FA,Degree_mean,74.83333333333333
28,Control,GM,Degree_mean,74.3
28,Control,rsfMRI,Degree_mean,74.5
28,EM,FA,Degree_mean,74.50344827586207
28,EM,GM,Degree_mean,74.53103448275863
28,EM,rsfMRI,Degree_mean,74.54482758620689
29,Control,FA,Degree_mean,64.94444444444444
29,Control,GM,Degree_mean,74.0
29,Control,rsfMRI,Degree_mean,75.0
29,EM,FA,Degree_mean,64.55862068965517
29,EM,GM,Degree_mean,74.55172413793103
29,EM,rsfMRI,Degree_mean,74.48275862068965
30,Control,FA,Degree_mean,72.88888888888889
30,Control,GM,Degree_mean,73.7
30,Control,rsfMRI,Degree_mean,74.83333333333333
30,EM,FA,Degree_mean,72.51034482758621
30,EM,GM,Degree_mean,74.57241379310345
30,EM,rsfMRI,Degree_mean,74.50344827586207
31,Control,FA,Degree_mean,74.66666666666667
31,Control,GM,Degree_mean,74.5
31,Control,rsfMRI,Degree_mean,74.66666666666667
31,EM,FA,Degree_mean,74.52413793103449
31,EM,GM,Degree_mean,74.51724137931035
31,EM,rsfMRI,Degree_mean,74.52413793103449
32,Control,FA,Degree_mean,71.55555555555556
32,Control,GM,Degree_mean,74.5
32,Control,rsfMRI,Degree_mean,74.11111111111111
32,EM,FA,Degree_mean,71.55862068965517
32,EM,GM,Degree_mean,74.51724137931035
32,EM,rsfMRI,Degree_mean,74.59310344827587
33,Control,FA,Degree_mean,74.83333333333333
33,Control,GM,Degree_mean,74.5
33,Control,rsfMRI,Degree_mean,74.94444444444444
33,EM,FA,Degree_mean,74.50344827586207
33,EM,GM,Degree_mean,74.51724137931035
33,EM,rsfMRI,Degree_mean,74.48965517241379
34,Control,FA,Degree_mean,74.38888888888889
