Node,Layer,Metric,Control,EM,Diff_EM_minus_Control
0,FA,Betweenness_mean,0.0049449449449449,0.0064740602671637,0.0015291153222188004
0,FA,Betweenness_std,0.0065343643794673,0.0150329270813089,0.0084985627018416
0,FA,Closeness_mean,0.8620689655172413,0.8580214903056185,-0.004047475211622853
0,FA,Closeness_std,0.0,0.0136425691621928,0.0136425691621928
0,FA,Degree_mean,63.0,62.56551724137931,-0.43448275862068897
0,FA,Degree_std,0.0,1.5266784620334373,1.5266784620334373
0,FA,Eigenvector_mean,0.1056056330483114,0.1063637080797702,0.0007580750314588047
0,FA,Eigenvector_std,0.0060759296963316,0.0082179307957526,0.0021420010994209994
0,FA,Strength_mean,33.82708685324084,33.87594534514437,0.04885849190353042
0,FA,Strength_std,4.627499261062892,5.423603710406726,0.7961044493438338
0,GM,Betweenness_mean,0.0419099099099099,0.0961217769493631,0.054211867039453195
0,GM,Betweenness_std,0.0543782204999263,0.1295405208789667,0.0751623003790404
0,GM,Closeness_mean,0.990924864609075,0.9939189477830384,0.0029940831739633245
0,GM,Closeness_std,0.0136488482635929,0.011354585710242,-0.0022942625533509016
0,GM,Degree_mean,74.3,74.53103448275863,0.2310344827586306
0,GM,Degree_std,1.0593499054713795,0.8901870310173976,-0.16916287445398193
0,GM,Eigenvector_mean,0.0936889975975302,0.0847690298576834,-0.008919967739846796
0,GM,Eigenvector_std,0.0295654907071532,0.0336232300710823,0.004057739363929096
0,GM,Strength_mean,23.921583694441903,21.94890613675076,-1.9726775576911422
0,GM,Strength_std,8.526796488063347,10.15712606793828,1.6303295798749335
0,rsfMRI,Betweenness_mean,0.005025025025025,0.0132687169928549,0.0082436919678299
0,rsfMRI,Betweenness_std,0.0109250087325002,0.0351225477045599,0.0241975389720597
0,rsfMRI,Closeness_mean,0.9950503083414476,0.9940758753882636,-0.0009744329531840012
0,rsfMRI,Closeness_std,0.0145561622318404,0.016524974960678,0.0019688127288376
0,rsfMRI,Degree_mean,74.61111111111111,74.53103448275863,-0.08007662835248652
0,rsfMRI,Degree_std,1.144752163719235,1.3336206586967243,0.18886849497748925
0,rsfMRI,Eigenvector_mean,0.1158531899439518,0.1144398677122682,-0.0014133222316835975
0,rsfMRI,Eigenvector_std,0.0092048417865279,0.0132431065397757,0.004038264753247801
0,rsfMRI,Strength_mean,43.66692827040436,42.95636490366817,-0.7105633667361957
0,rsfMRI,Strength_std,7.819010401506561,6.98345376365571,-0.8355566378508508
1,FA,Betweenness_mean,0.0048848848848848,0.0063721652687169,0.0014872803838321003
