Node,Layer,Metric,Control,EM,Delta,Cohort
0,FA,Betweenness_mean,0.0024749277579466256,0.004774774774774775,-0.002299847016828149,Naples
0,FA,Closeness_mean,0.7210242587601078,0.715910443385712,0.005113815374395814,Naples
0,FA,Degree_mean,45.9811320754717,45.13461538461539,0.846516690856312,Naples
0,FA,Eigenvector_mean,0.09680610687501189,0.09384014763132933,0.0029659592436825505,Naples
0,FA,Strength_mean,31.85281873364997,25.685032816168132,6.167785917481837,Naples
0,GM,Betweenness_mean,0.03018867924528302,0.02785862785862786,0.002330051386655159,Naples
0,GM,Closeness_mean,0.973478324910533,0.9845417740154582,-0.011063449104925183,Naples
0,GM,Degree_mean,72.79245283018868,73.8076923076923,-1.015239477503627,Naples
0,GM,Eigenvector_mean,0.1159198479729454,0.10944250381082815,0.006477344162117246,Naples
0,GM,Strength_mean,37.40504073783664,42.559713480371926,-5.154672742535283,Naples
0,rsfMRI,Betweenness_mean,0.01954105048444671,0.022106722106722106,-0.0025656716222753964,Naples
0,rsfMRI,Closeness_mean,0.9932959441882847,0.9890369097940652,0.004259034394219485,Naples
0,rsfMRI,Degree_mean,74.45283018867924,74.11538461538461,0.3374455732946302,Naples
0,rsfMRI,Eigenvector_mean,0.1173328522018331,0.11440833768468923,0.0029245145171438586,Naples
0,rsfMRI,Strength_mean,41.47326479893378,39.38092006691996,2.092344732013821,Naples
1,FA,Betweenness_mean,0.00022437531871494137,0.0018780318780318782,-0.0016536565593169368,Naples
1,FA,Closeness_mean,0.7894736842105263,0.7825447625504427,0.006928921660083631,Naples
1,FA,Degree_mean,55.0,53.94230769230769,1.0576923076923066,Naples
1,FA,Eigenvector_mean,0.12328331857371584,0.12154663302149203,0.00173668555222381,Naples
1,FA,Strength_mean,39.828271319481566,32.919827016793924,6.908444302687641,Naples
1,GM,Betweenness_mean,0.008628250892401835,0.0,0.008628250892401835,Naples
1,GM,Closeness_mean,0.9883845303816895,0.999240890688259,-0.010856360306569557,Naples
1,GM,Degree_mean,73.64150943396227,74.9423076923077,-1.3007982583454236,Naples
1,GM,Eigenvector_mean,0.1283134725928935,0.12839008023417528,-7.660764128178399e-05,Naples
1,GM,Strength_mean,41.55149166790543,50.26832266681936,-8.716830998913927,Naples
1,rsfMRI,Betweenness_mean,0.01772565017848037,0.01282051282051282,0.004905137357967548,Naples
1,rsfMRI,Closeness_mean,0.9937311920305962,0.9885018215463647,0.005229370484231555,Naples
1,rsfMRI,Degree_mean,74.50943396226415,74.0576923076923,0.45174165457184756,Naples
1,rsfMRI,Eigenvector_mean,0.11181745123581988,0.11513750735972067,-0.003320056123900794,Naples
1,rsfMRI,Strength_mean,39.54208796064308,39.65255751731047,-0.11046955666738967,Naples
2,FA,Betweenness_mean,0.0033452320244773074,0.005675675675675675,-0.0023304436511983675,Naples
2,FA,Closeness_mean,0.7425742574257426,0.7366456663912226,0.0059285910345199255,Naples
2,FA,Degree_mean,49.0,48.05769230769231,0.9423076923076934,Naples
2,FA,Eigenvector_mean,0.10677991924548903,0.1019257623641366,0.004854156881352434,Naples
2,FA,Strength_mean,36.058936119511124,28.737624818073126,7.321311301437998,Naples
2,GM,Betweenness_mean,0.003134455209926908,0.005176715176715177,-0.0020422599667882695,Naples
2,GM,Closeness_mean,0.9899610942052657,0.9977611079792958,-0.007800013774030168,Naples
2,GM,Degree_mean,73.75471698113208,74.82692307692308,-1.0722060957910031,Naples
2,GM,Eigenvector_mean,0.12307972598505917,0.12147433711521818,0.0016053888698409902,Naples
2,GM,Strength_mean,39.986103846466335,47.38092049967248,-7.394816653206142,Naples
2,rsfMRI,Betweenness_mean,0.011150773414924358,0.016784476784476785,-0.005633703369552427,Naples
2,rsfMRI,Closeness_mean,0.9888358804346282,0.9930444177868971,-0.004208537352268893,Naples
2,rsfMRI,Degree_mean,74.11320754716981,74.46153846153847,-0.3483309143686597,Naples
2,rsfMRI,Eigenvector_mean,0.11635908292603124,0.11152906765901392,0.004830015267017318,Naples
2,rsfMRI,Strength_mean,40.88271725784492,38.3962351821823,2.4864820756626145,Naples
3,FA,Betweenness_mean,0.002420533741288458,0.004178794178794179,-0.0017582604375057207,Naples
3,FA,Closeness_mean,0.5680206089838662,0.5660841013950247,0.0019365075888414518,Naples
3,FA,Degree_mean,18.962264150943398,18.673076923076923,0.2891872278664742,Naples
3,FA,Eigenvector_mean,0.03449167517534516,0.03264070784999193,0.0018509673253532324,Naples
3,FA,Strength_mean,11.453223922797683,9.187347924892837,2.265875997904846,Naples
3,GM,Betweenness_mean,0.02875403705592385,0.02065142065142065,0.008102616404503198,Naples
3,GM,Closeness_mean,0.9872234024070558,0.9973462032191172,-0.010122800812061405,Naples
3,GM,Degree_mean,73.79245283018868,74.78846153846153,-0.9960087082728535,Naples
3,GM,Eigenvector_mean,0.11665453602906323,0.10896892344417713,0.007685612584886092,Naples
3,GM,Strength_mean,36.9985846256141,42.22823427767658,-5.229649652062477,Naples
3,rsfMRI,Betweenness_mean,0.03660037395886452,0.03309078309078309,0.003509590868081433,Naples
3,rsfMRI,Closeness_mean,0.9921266973080747,0.9899194302660901,0.0022072670419845952,Naples
3,rsfMRI,Degree_mean,74.35849056603773,74.21153846153847,0.14695210449926321,Naples
3,rsfMRI,Eigenvector_mean,0.10377350235980454,0.11130877313167173,-0.007535270771867192,Naples
3,rsfMRI,Strength_mean,36.708547192046765,38.15913299580877,-1.450585803762003,Naples
4,FA,Betweenness_mean,0.004249532551419344,0.008274428274428276,-0.004024895723008932,Naples
4,FA,Closeness_mean,0.7575757575757576,0.7506649052701685,0.006910852305589077,Naples
4,FA,Degree_mean,51.0,50.01923076923077,0.9807692307692335,Naples
4,FA,Eigenvector_mean,0.10803381867777789,0.1013312210777463,0.0067025976000315984,Naples
4,FA,Strength_mean,36.24446042277027,28.45901769407993,7.785442728690338,Naples
4,GM,Betweenness_mean,0.014720380758116608,0.006971586971586972,0.007748793786529636,Naples
4,GM,Closeness_mean,0.987169415678611,0.9950832969208651,-0.007913881242254006,Naples
4,GM,Degree_mean,73.98113207547169,74.59615384615384,-0.6150217706821479,Naples
4,GM,Eigenvector_mean,0.11254733779556202,0.11572209468279424,-0.003174756887232219,Naples
4,GM,Strength_mean,35.349627479174025,44.35336285825065,-9.003735379076623,Naples
4,rsfMRI,Betweenness_mean,0.021363250042495324,0.015544005544005545,0.005819244498489778,Naples
4,rsfMRI,Closeness_mean,0.9916858467415958,0.9901137931660762,0.0015720535755195941,Naples
4,rsfMRI,Degree_mean,74.35849056603773,74.21153846153847,0.14695210449926321,Naples
4,rsfMRI,Eigenvector_mean,0.11356192321004446,0.11478755319223466,-0.0012256299821901961,Naples
4,rsfMRI,Strength_mean,39.885371759578234,39.13434178050726,0.7510299790709709,Naples
5,FA,Betweenness_mean,0.0012646608873023966,0.006465696465696467,-0.00520103557839407,Naples
5,FA,Closeness_mean,0.8926589503726019,0.883125445447521,0.009533504925080871,Naples
5,FA,Degree_mean,65.98113207547169,64.75,1.2311320754716917,Naples
5,FA,Eigenvector_mean,0.1409193546604491,0.13756804453010377,0.003351310130345342,Naples
5,FA,Strength_mean,48.07163511272525,39.469902875162624,8.601732237562622,Naples
5,GM,Betweenness_mean,0.0074247832738398795,0.018115038115038114,-0.010690254841198236,Naples
5,GM,Closeness_mean,0.9887622044011811,0.9940323167328523,-0.005270112331671184,Naples
5,GM,Degree_mean,74.05660377358491,74.51923076923077,-0.46262699564586285,Naples
5,GM,Eigenvector_mean,0.11649356954376142,0.1104752870598899,0.006018282483871512,Naples
5,GM,Strength_mean,37.05756864797669,42.879353466593095,-5.821784818616408,Naples
5,rsfMRI,Betweenness_mean,0.025735169131395546,0.013846153846153845,0.011889015285241701,Naples
5,rsfMRI,Closeness_mean,0.9912108385595183,0.9908248127050381,0.00038602585448022086,Naples
5,rsfMRI,Degree_mean,74.30188679245283,74.26923076923077,0.03265602322206007,Naples
5,rsfMRI,Eigenvector_mean,0.11042316091698134,0.11369143975507884,-0.0032682788380974936,Naples
5,rsfMRI,Strength_mean,38.98627215582797,39.219909733053626,-0.23363757722565737,Naples
6,FA,Betweenness_mean,0.000271970083290838,0.005952875952875952,-0.005680905869585114,Naples
6,FA,Closeness_mean,0.8426966292134831,0.8335925813014704,0.009104047912012692,Naples
6,FA,Degree_mean,61.0,59.82692307692308,1.1730769230769198,Naples
6,FA,Eigenvector_mean,0.13485872819816289,0.12615470165730397,0.008704026540858917,Naples
6,FA,Strength_mean,45.61618186626153,35.82856167206042,9.78762019420111,Naples
6,GM,Betweenness_mean,0.016698963114057455,0.008745668745668747,0.007953294368388708,Naples
6,GM,Closeness_mean,0.9877845092652225,0.9944706075210329,-0.0066860982558103466,Naples
6,GM,Degree_mean,74.0377358490566,74.53846153846153,-0.5007256894049306,Naples
6,GM,Eigenvector_mean,0.11062291280351919,0.11465896765787353,-0.004036054854354348,Naples
6,GM,Strength_mean,34.467493538134576,43.65564350372215,-9.188149965587577,Naples
6,rsfMRI,Betweenness_mean,0.02088050314465409,0.021081081081081084,-0.00020057793642699537,Naples
6,rsfMRI,Closeness_mean,0.9911694373468853,0.9906502298182548,0.0005192075286305498,Naples
6,rsfMRI,Degree_mean,74.30188679245283,74.26923076923077,0.03265602322206007,Naples
6,rsfMRI,Eigenvector_mean,0.11596246078420262,0.114464673348772,0.0014977874354306225,Naples
6,rsfMRI,Strength_mean,40.71189104832195,39.034748617193536,1.6771424311284164,Naples
7,FA,Betweenness_mean,0.0026721060683324834,0.0056548856548856545,-0.002982779586553171,Naples
7,FA,Closeness_mean,0.8426966292134831,0.8343203921682801,0.008376237045202961,Naples
7,FA,Degree_mean,61.0,59.82692307692308,1.1730769230769198,Naples
7,FA,Eigenvector_mean,0.13175208239412417,0.12612042154571904,0.0056316608484051345,Naples
7,FA,Strength_mean,44.45900463815356,35.56321449689686,8.895790141256697,Naples
7,GM,Betweenness_mean,0.031222165561788206,0.028863478863478863,0.002358686698309343,Naples
7,GM,Closeness_mean,0.9868470287792758,0.9975341082583691,-0.010687079479093309,Naples
7,GM,Degree_mean,73.77358490566037,74.8076923076923,-1.0341074020319354,Naples
7,GM,Eigenvector_mean,0.1107343799421039,0.11151166041560143,-0.0007772804734975242,Naples
7,GM,Strength_mean,35.636780189028094,43.085310438963056,-7.4485302499349615,Naples
7,rsfMRI,Betweenness_mean,0.009369369369369369,0.029286209286209286,-0.019916839916839915,Naples
7,rsfMRI,Closeness_mean,0.9951479131593333,0.9872050325233849,0.00794288063594839,Naples
7,rsfMRI,Degree_mean,74.62264150943396,73.9423076923077,0.6803338171262681,Naples
7,rsfMRI,Eigenvector_mean,0.11031821837284886,0.10862602593765601,0.0016921924351928491,Naples
7,rsfMRI,Strength_mean,39.20284086867533,37.76656296187205,1.4362779068032836,Naples
8,FA,Betweenness_mean,0.0014278429372768997,0.015343035343035343,-0.013915192405758444,Naples
8,FA,Closeness_mean,0.8064516129032258,0.7987193547043963,0.0077322581988295,Naples
