,age,age,age,age,age,age,age,age,sex,sex,sex,sex,sex,sex,sex,sex,edss,edss,edss,edss,edss,edss,edss,edss,dd,dd,dd,dd,dd,dd,dd,dd
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
dd_grp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<2,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,
2–5,4.0,35.115,9.641872224832687,22.66,32.2,35.81,38.725,46.18,4.0,0.25,0.5,0.0,0.0,0.0,0.25,1.0,4.0,1.125,0.75,0.0,1.125,1.5,1.5,1.5,4.0,3.3800000000000003,0.47434164902525683,2.72,3.1925,3.5300000000000002,3.7175000000000002,3.74
5–10,40.0,44.01875,9.479092293312066,25.57,38.025,42.599999999999994,50.2025,60.78,40.0,0.25,0.4385290096535146,0.0,0.0,0.0,0.25,1.0,40.0,2.05,1.3243285671789136,1.0,1.375,1.5,2.125,6.0,40.0,7.63275,1.413110748377312,5.24,6.315,7.765000000000001,8.555,9.94
10–20,65.0,45.36753846153846,8.852103215968162,25.72,37.98,43.87,50.47,66.48,65.0,0.3076923076923077,0.46513025470953173,0.0,0.0,0.0,1.0,1.0,65.0,2.5692307692307694,1.533166971186916,1.0,1.5,2.0,3.5,7.5,65.0,14.528307692307692,2.846952630242757,10.12,11.94,14.57,17.0,19.77
20+,38.0,55.45868421052632,8.107729102213462,42.79,49.712500000000006,54.519999999999996,59.81,72.22,38.0,0.3157894736842105,0.4710691208760756,0.0,0.0,0.0,1.0,1.0,38.0,3.6184210526315788,1.9397485575640558,1.0,2.0,3.0,5.875,7.5,38.0,28.502894736842098,7.055590425959436,20.16,22.445,27.494999999999997,32.805,46.13
