feature,control,ms,delta
degree,0.452324,0.45856762,-0.0062436163
strength,0.32591426,0.49592343,-0.17000917
betweenness,0.20002043,0.19952704,0.00049339235
closeness,0.2752974,0.2741432,0.0011542141
eigenvector,0.2760843,0.27434102,0.0017432868
