feature,control,ms,delta
degree,0.28475374,0.28503123,-0.00027748942
strength,0.27058402,0.27024367,0.00034034252
betweenness,0.16363242,0.17136143,-0.007729009
closeness,0.2727182,0.27211216,0.0006060302
eigenvector,0.27368838,0.27352628,0.00016209483
