edge_idx,source,target,control,ms,delta
634,8,71,0.27404678,0.27506387,-0.0010170937
4412,63,24,0.27862233,0.279642,-0.0010196567
1684,27,38,0.28167358,0.28269625,-0.0010226667
4561,65,27,0.27986467,0.28089184,-0.0010271668
724,10,30,0.27956724,0.28059548,-0.0010282397
4614,71,28,0.28142008,0.2824495,-0.0010294318
4192,53,20,0.28252372,0.28356063,-0.0010369122
3792,59,13,0.280652,0.28169096,-0.0010389686
3784,51,13,0.27970386,0.28074837,-0.0010445118
4245,52,21,0.27710655,0.278154,-0.0010474324
4171,32,20,0.28185433,0.28290275,-0.0010484159
5556,68,58,0.27525058,0.27630156,-0.0010509789
4643,54,29,0.2785999,0.27965415,-0.0010542572
3373,27,7,0.27641368,0.27746817,-0.0010544956
4911,67,35,0.28021672,0.28127328,-0.0010565519
1247,18,69,0.2746323,0.27569678,-0.0010644794
2409,45,70,0.27581254,0.27688003,-0.0010674894
5197,69,43,0.27688372,0.277952,-0.0010682642
2659,55,75,0.27681708,0.27789345,-0.0010763705
2363,44,54,0.28082514,0.2819055,-0.001080364
113,1,40,0.2810671,0.28214774,-0.0010806322
2618,53,75,0.27909932,0.28018144,-0.0010821223
4460,61,25,0.2779262,0.27901298,-0.0010867715
2192,39,48,0.27736935,0.2784568,-0.0010874569
2340,43,62,0.2789098,0.27999765,-0.0010878444
1206,18,28,0.27601543,0.27710336,-0.0010879338
2936,13,1,0.28070506,0.2817935,-0.0010884404
2685,57,64,0.2798528,0.28094432,-0.00109151
1977,33,64,0.2788972,0.27999428,-0.0010970831
2610,53,67,0.27492794,0.27602798,-0.0011000335
3842,48,14,0.27513307,0.27623725,-0.001104176
955,13,72,0.2812181,0.28232804,-0.0011099279
5279,61,46,0.27696982,0.27808124,-0.001111418
5403,55,51,0.28060988,0.28172752,-0.0011176467
1404,21,61,0.27348083,0.27460048,-0.0011196434
4735,57,31,0.28188187,0.2830089,-0.0011270344
4699,65,30,0.2767219,0.2778539,-0.0011320114
5034,40,39,0.27621922,0.27735242,-0.0011332035
5251,62,45,0.2805731,0.28170866,-0.0011355579
2834,69,75,0.2764938,0.2776318,-0.0011380017
1282,19,48,0.27811044,0.27925077,-0.0011403263
5280,62,46,0.28013617,0.28127795,-0.0011417866
2572,51,74,0.27940053,0.28055206,-0.0011515319
1742,28,49,0.28007331,0.2812258,-0.0011524856
3715,44,12,0.27281192,0.27396804,-0.0011561215
2134,37,63,0.2799159,0.2810753,-0.0011593997
2035,35,41,0.27707124,0.2782331,-0.0011618733
466,6,38,0.2781049,0.27927053,-0.0011656284
502,6,74,0.2847228,0.2858891,-0.0011662841
4693,59,30,0.280747,0.28191403,-0.0011670291
654,9,25,0.27327162,0.27443945,-0.0011678338
275,3,57,0.27677166,0.27794105,-0.0011693835
3178,39,4,0.2793276,0.28049958,-0.0011719763
3153,14,4,0.27346173,0.27463698,-0.0011752546
2600,53,57,0.28033885,0.28151795,-0.0011790991
2305,42,59,0.2778876,0.2790672,-0.0011795759
3424,11,8,0.27385315,0.27503273,-0.0011795759
5341,68,48,0.28221986,0.2834005,-0.0011806488
811,11,53,0.27648202,0.27766448,-0.0011824667
5265,47,46,0.27703393,0.27821726,-0.001183331
4408,59,24,0.2763289,0.2775143,-0.0011854172
