feature,control,ms,delta
degree,0.5392216,0.3969112,0.14231038
strength,0.36119097,0.46083817,-0.099647194
betweenness,0.089749224,0.07649376,0.013255462
closeness,0.27587023,0.27529514,0.0005750954
eigenvector,0.2739513,0.27463853,-0.00068724155
