feature,control,ms,delta
degree,0.33754256,0.52834463,-0.19080207
strength,0.367169,0.32944933,0.037719667
betweenness,0.20018512,0.19944689,0.0007382333
closeness,0.2728864,0.27299425,-0.000107854605
eigenvector,0.27324104,0.27504626,-0.0018052161
