feature,control,ms,delta
degree,0.2769233,0.2767856,0.00013768673
strength,0.26920992,0.26917744,3.248453e-05
betweenness,0.16298854,0.17079097,-0.007802427
closeness,0.27368334,0.27344713,0.0002362132
eigenvector,0.2760565,0.27555972,0.0004967749
