Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
GM,52,Strength,54.71757,54.52526,0.19231033
GM,53,Strength,52.805927,53.44961,-0.6436844
GM,54,Strength,57.32472,57.329243,-0.004524231
GM,55,Strength,51.768074,52.831745,-1.0636711
GM,56,Strength,46.11495,47.232494,-1.1175461
GM,57,Strength,51.916016,52.43954,-0.52352524
GM,58,Strength,50.863422,53.108253,-2.244831
GM,59,Strength,33.827568,33.538918,0.2886505
GM,60,Strength,44.46841,41.798122,2.670288
GM,61,Strength,55.216675,55.20239,0.014286041
GM,62,Strength,51.184067,51.07557,0.10849762
GM,63,Strength,19.852858,22.262577,-2.4097195
GM,64,Strength,25.695042,24.001406,1.693636
GM,65,Strength,47.82146,46.26495,1.5565109
GM,66,Strength,32.893875,30.418303,2.4755726
GM,67,Strength,39.354294,40.055737,-0.7014427
GM,68,Strength,48.205437,48.041054,0.16438293
GM,69,Strength,49.51586,49.182156,0.3337059
GM,70,Strength,51.778217,50.61546,1.1627579
GM,71,Strength,31.753332,32.129112,-0.3757801
GM,72,Strength,50.161713,48.977264,1.1844482
GM,73,Strength,40.316296,39.349213,0.967083
GM,74,Strength,13.576347,12.887392,0.6889553
GM,75,Strength,50.85274,49.435783,1.4169579
GM,0,Betweenness,0.06875675,0.036319353,0.0324374
GM,1,Betweenness,0.004648649,0.022643058,-0.017994408
GM,2,Betweenness,0.0038558557,0.028615097,-0.02475924
GM,3,Betweenness,0.008648649,0.023450762,-0.014802113
GM,4,Betweenness,0.00014414414,0.011886922,-0.011742777
GM,5,Betweenness,0.057693698,0.02316247,0.03453123
GM,6,Betweenness,0.0044684685,0.0057011493,-0.0012326809
GM,7,Betweenness,0.01254054,0.015527804,-0.0029872647
GM,8,Betweenness,0.0115675675,0.014349798,-0.0027822303
GM,9,Betweenness,0.0016216217,0.016109351,-0.014487729
GM,10,Betweenness,0.005153153,0.021298543,-0.01614539
GM,11,Betweenness,0.013477476,0.022921402,-0.009443926
GM,12,Betweenness,0.049585585,0.01038832,0.039197266
GM,13,Betweenness,0.006666667,0.016792791,-0.010126124
GM,14,Betweenness,0.10893694,0.044316866,0.06462008
GM,15,Betweenness,0.0031711713,0.025811743,-0.022640571
GM,16,Betweenness,0.023567569,0.038844362,-0.015276793
GM,17,Betweenness,0.00064864865,0.01680522,-0.016156571
GM,18,Betweenness,0.035135135,0.053176764,-0.01804163
GM,19,Betweenness,0.026594594,0.045820445,-0.01922585
GM,20,Betweenness,0.013729731,0.013954644,-0.00022491347
GM,21,Betweenness,0.022378378,0.026072692,-0.0036943145
GM,22,Betweenness,0.0074594594,0.038267788,-0.030808328
GM,23,Betweenness,0.014378378,0.0131022055,0.0012761727
GM,24,Betweenness,0.011171171,0.017714819,-0.0065436475
GM,25,Betweenness,0.0073513514,0.015674433,-0.008323081
GM,26,Betweenness,0.0056936936,0.03384405,-0.028150357
GM,27,Betweenness,0.009873874,0.017247593,-0.0073737195
GM,28,Betweenness,0.022882883,0.028351663,-0.00546878
GM,29,Betweenness,0.022882883,0.030568501,-0.0076856185
GM,30,Betweenness,0.0027747748,0.011541473,-0.008766698
GM,31,Betweenness,0.01427027,0.016265921,-0.001995651
GM,32,Betweenness,0.021693693,0.015791241,0.0059024524
GM,33,Betweenness,0.008756757,0.012754273,-0.003997516
GM,34,Betweenness,0.0049369372,0.008330537,-0.0033935998
GM,35,Betweenness,0.014702703,0.020008698,-0.0053059952
GM,36,Betweenness,0.027423423,0.018584652,0.008838771
GM,37,Betweenness,0.01218018,0.029015223,-0.016835041
GM,38,Betweenness,0.007027027,0.017670082,-0.010643055
GM,39,Betweenness,0.0013693694,0.00887232,-0.0075029507
GM,40,Betweenness,0.03556757,0.020003727,0.015563844
GM,41,Betweenness,0.042882882,0.021532152,0.02135073
GM,42,Betweenness,0.007027027,0.017448895,-0.0104218675
GM,43,Betweenness,0.003783784,0.02084871,-0.017064925
GM,44,Betweenness,0.07809009,0.044247285,0.033842802
GM,45,Betweenness,0.08425225,0.059874494,0.02437776
GM,46,Betweenness,0.03664865,0.061079834,-0.024431184
GM,47,Betweenness,0.015387388,0.02052066,-0.005133271
GM,48,Betweenness,0.010954956,0.022536194,-0.011581238
GM,49,Betweenness,0.0034954958,0.013328363,-0.009832867
GM,50,Betweenness,0.06868468,0.019603604,0.04908108
GM,51,Betweenness,0.006054054,0.009605467,-0.0035514133
GM,52,Betweenness,0.006522523,0.024854923,-0.0183324
GM,53,Betweenness,0.0034954953,0.007741535,-0.00424604
GM,54,Betweenness,0.0055855857,0.012766698,-0.0071811127
GM,55,Betweenness,0.0006846847,0.015251941,-0.014567256
GM,56,Betweenness,0.001981982,0.018378379,-0.016396396
GM,57,Betweenness,0.025333334,0.010997204,0.01433613
GM,58,Betweenness,0.048900902,0.027688105,0.021212798
GM,59,Betweenness,0.04036036,0.045604225,-0.005243864
GM,60,Betweenness,0.07376577,0.022411928,0.051353842
GM,61,Betweenness,0.03754955,0.039674435,-0.0021248832
GM,62,Betweenness,0.04828829,0.030625662,0.017662628
GM,63,Betweenness,0.00057657657,0.0037750856,-0.003198509
GM,64,Betweenness,0.10666667,0.039239515,0.06742716
GM,65,Betweenness,0.006054054,0.008516931,-0.002462877
GM,66,Betweenness,0.014738739,0.021204099,-0.0064653605
GM,67,Betweenness,0.0047927923,0.012219944,-0.007427152
GM,68,Betweenness,0.025297295,0.027707985,-0.0024106894
GM,69,Betweenness,0.042774774,0.018865487,0.023909288
GM,70,Betweenness,0.004792793,0.015147563,-0.01035477
GM,71,Betweenness,0.015675675,0.01967816,-0.0040024854
GM,72,Betweenness,0.016792793,0.013069898,0.003722895
GM,73,Betweenness,0.030306306,0.02001367,0.010292636
GM,74,Betweenness,0.073045045,0.058462873,0.014582172
GM,75,Betweenness,0.03718919,0.02628891,0.0109002795
GM,0,Closeness,0.9043001,0.9104605,-0.0061603785
GM,1,Closeness,0.90046227,0.899049,0.0014132857
GM,2,Closeness,0.6944445,0.69265103,0.0017934442
GM,3,Closeness,0.9986842,0.9940107,0.0046735406
GM,4,Closeness,0.9960526,0.99427015,0.0017824769
GM,5,Closeness,0.9545289,0.95650643,-0.0019775033
GM,6,Closeness,1.0,0.99393183,0.00606817
GM,7,Closeness,0.94936717,0.9439275,0.005439639
GM,8,Closeness,0.9481804,0.9438708,0.0043095946
GM,9,Closeness,0.9986842,0.99363476,0.005049467
GM,10,Closeness,0.934056,0.93246114,0.0015948415
GM,11,Closeness,0.9259259,0.9210864,0.0048395395
GM,12,Closeness,0.9986842,0.9937401,0.0049441457
GM,13,Closeness,0.95684797,0.9560849,0.00076305866
GM,14,Closeness,0.75531805,0.75555676,-0.0002387166
GM,15,Closeness,0.8152174,0.8122854,0.0029319525
GM,16,Closeness,0.9481804,0.944088,0.0040923953
GM,17,Closeness,0.8803009,0.87813807,0.0021628141
GM,18,Closeness,0.7411324,0.7403178,0.0008145571
GM,19,Closeness,0.67567575,0.67411774,0.0015580058
GM,20,Closeness,0.91243017,0.90992546,0.0025047064
GM,21,Closeness,0.76530606,0.7629162,0.0023898482
GM,22,Closeness,0.8610894,0.85835683,0.002732575
GM,23,Closeness,0.92725164,0.9329438,-0.005692184
GM,24,Closeness,0.91243017,0.9099379,0.002492249
GM,25,Closeness,0.92369473,0.9209562,0.0027385354
GM,26,Closeness,0.7575758,0.75501317,0.002562642
GM,27,Closeness,0.9446789,0.9441366,0.00054228306
GM,28,Closeness,0.8408445,0.8391567,0.0016878247
GM,29,Closeness,0.6048388,0.6040363,0.00080251694
GM,30,Closeness,0.8143409,0.81187814,0.0024627447
GM,31,Closeness,0.93518513,0.9322422,0.0029429197
GM,32,Closeness,0.9960526,0.993822,0.0022306442
GM,33,Closeness,0.98556054,0.98063755,0.004922986
GM,34,Closeness,0.9960868,0.9938694,0.0022173524
GM,35,Closeness,0.9986842,0.9936118,0.005072415
GM,36,Closeness,0.99127674,0.9941463,-0.0028695464
GM,37,Closeness,0.9986842,0.9937059,0.004978299
