Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
FA,48,Strength,12.497824,12.607716,-0.10989189
FA,49,Strength,23.389828,23.727589,-0.33776093
FA,50,Strength,43.828022,43.884644,-0.05662155
FA,51,Strength,33.103928,33.381706,-0.27777863
FA,52,Strength,37.301834,37.355633,-0.053798676
FA,53,Strength,33.646576,33.41088,0.23569489
FA,54,Strength,30.686897,30.916494,-0.22959709
FA,55,Strength,26.910183,26.667038,0.24314499
FA,56,Strength,28.45292,29.001518,-0.54859734
FA,57,Strength,41.61232,42.031635,-0.41931534
FA,58,Strength,18.226736,18.06381,0.16292572
FA,59,Strength,29.619062,29.47848,0.14058304
FA,60,Strength,30.768307,31.293896,-0.525589
FA,61,Strength,24.961601,25.092709,-0.13110733
FA,62,Strength,31.564392,31.80972,-0.245327
FA,63,Strength,24.21773,23.982227,0.23550224
FA,64,Strength,33.381435,33.28939,0.09204483
FA,65,Strength,31.319279,31.774765,-0.4554863
FA,66,Strength,31.952,31.886423,0.06557655
FA,67,Strength,43.7721,43.146935,0.62516403
FA,68,Strength,24.537037,24.793161,-0.2561245
FA,69,Strength,36.909138,36.86341,0.045726776
FA,70,Strength,39.35948,39.033215,0.32626724
FA,71,Strength,44.877098,44.11539,0.7617073
FA,72,Strength,42.852234,43.363434,-0.51119995
FA,73,Strength,37.429634,37.71668,-0.28704453
FA,74,Strength,16.17083,16.520136,-0.3493061
FA,75,Strength,43.72482,44.14793,-0.42311096
FA,0,Betweenness,0.024664668,0.017498601,0.007166067
FA,1,Betweenness,0.010290291,0.01172041,-0.0014301185
FA,2,Betweenness,0.037817817,0.032211248,0.0056065693
FA,3,Betweenness,0.050350353,0.016039765,0.034310587
FA,4,Betweenness,0.04860861,0.04273625,0.0058723576
FA,5,Betweenness,0.0044444446,0.008579062,-0.0041346177
FA,6,Betweenness,0.015175175,0.025250077,-0.010074902
FA,7,Betweenness,0.033913914,0.031448275,0.0024656393
FA,8,Betweenness,0.009049049,0.016638707,-0.0075896587
FA,9,Betweenness,0.057977982,0.03670705,0.02127093
FA,10,Betweenness,0.015695695,0.019233303,-0.0035376083
FA,11,Betweenness,0.035195198,0.017086051,0.018109147
FA,12,Betweenness,0.077217214,0.032969244,0.04424797
FA,13,Betweenness,0.11813814,0.051954024,0.06618412
FA,14,Betweenness,0.024644645,0.020192608,0.0044520367
FA,15,Betweenness,0.0054054055,0.010122399,-0.0047169933
FA,16,Betweenness,0.013393394,0.016546756,-0.0031533623
FA,17,Betweenness,0.025345346,0.014889097,0.010456249
FA,18,Betweenness,0.005885886,0.016246038,-0.0103601515
FA,19,Betweenness,0.021021022,0.02779248,-0.0067714583
FA,20,Betweenness,0.02044044,0.026808325,-0.0063678846
FA,21,Betweenness,0.054034036,0.02189003,0.032144006
FA,22,Betweenness,0.0019019018,0.0067722895,-0.0048703877
FA,23,Betweenness,0.036316317,0.033478722,0.0028375946
FA,24,Betweenness,0.014934936,0.018177072,-0.003242136
FA,25,Betweenness,0.024044044,0.019268095,0.004775949
FA,26,Betweenness,0.010690691,0.0140714515,-0.0033807606
FA,27,Betweenness,0.023463465,0.022623174,0.0008402914
FA,28,Betweenness,0.01845846,0.02485741,-0.00639895
FA,29,Betweenness,0.029749751,0.02257844,0.0071713105
FA,30,Betweenness,0.042202204,0.03990308,0.0022991262
FA,31,Betweenness,0.02976977,0.031326503,-0.0015567318
FA,32,Betweenness,0.06386387,0.05367381,0.010190062
FA,33,Betweenness,0.03129129,0.023925444,0.007365847
FA,34,Betweenness,0.025205204,0.031967696,-0.0067624915
FA,35,Betweenness,0.048968963,0.038538676,0.010430288
FA,36,Betweenness,0.07731732,0.04009444,0.03722288
FA,37,Betweenness,0.057757754,0.032380242,0.025377512
FA,38,Betweenness,0.02994995,0.043822303,-0.013872353
FA,39,Betweenness,0.030110111,0.031100346,-0.0009902343
FA,40,Betweenness,0.029149149,0.031246971,-0.0020978227
FA,41,Betweenness,0.017977977,0.03331469,-0.015336713
FA,42,Betweenness,0.08710711,0.04488102,0.042226087
FA,43,Betweenness,0.054714717,0.027804911,0.026909806
FA,44,Betweenness,0.059979983,0.027760174,0.03221981
FA,45,Betweenness,0.025925927,0.017272446,0.008653481
FA,46,Betweenness,0.026426427,0.016626282,0.009800145
FA,47,Betweenness,0.04908909,0.039157506,0.009931583
FA,48,Betweenness,0.0075875875,0.0059099104,0.001677677
FA,49,Betweenness,0.07183183,0.03872756,0.03310427
FA,50,Betweenness,0.010470471,0.027593665,-0.017123193
FA,51,Betweenness,0.021021022,0.02206151,-0.0010404885
FA,52,Betweenness,0.094294295,0.04787574,0.046418555
FA,53,Betweenness,0.02880881,0.021206586,0.007602224
FA,54,Betweenness,0.034594595,0.025871387,0.008723209
FA,55,Betweenness,0.027007006,0.021328364,0.0056786425
FA,56,Betweenness,0.072432436,0.04267661,0.029755827
FA,57,Betweenness,0.02876877,0.021139484,0.0076292865
FA,58,Betweenness,0.040720716,0.027573777,0.013146939
FA,59,Betweenness,0.0045045046,0.0072047217,-0.002700217
